,Chemical Name,PC1,PC2,Spin Splitting Energy (kcal/mol)
0,Co(III)(carbonyl)4eq(ammonia)ax1(ammonia)ax2,-4.002273097427224,1.3731693313371212,42.41232469
1,Cr(II)(bipy)3,6.025606285309368,-0.4047038696266265,-31.62699493
2,Cr(III)(water)4eq(ammonia)ax1(ammonia)ax2,-3.6139117879422584,-0.6821031607053745,-25.31705721
3,Fe(III)(bipy)3,5.744934722768748,1.779317394458828,16.89018589
4,Fe(II)(cyanide)4eq(cyanide)ax1(cyanide)ax2,-3.9417006191153567,1.4185816211552384,2.9225379589999996
5,Fe(III)(cyanide)4eq(cyanide)ax1(cyanide)ax2,-3.9487164232355796,1.5053252512213189,34.76841209
6,Cr(II)(pisc)4eq(pisc)ax1(pisc)ax2,2.459982480977202,0.8565369597861062,-6.5283988729999995
7,Mn(II)(en)3,1.4216390341445369,-3.4915469733832527,-32.18296665
8,Mn(III)(en)3,1.4146232300243156,-3.404803343317172,-42.0146315
9,Fe(III)(ox)4eq(ox)ax1(ox)ax2,0.2986085101838916,1.9415894512933034,-10.33331408
10,Fe(II)(ox)4eq(ox)ax1(ox)ax2,0.30562431430411324,1.8548458212272234,-29.84273561
11,Fe(II)(porphyrin)eq(carbonyl)ax1(carbonyl)ax2,0.7962939821587891,1.0960785504685637,83.97529054
12,Fe(II)(isothiocyanate)4eq(pisc)ax1(pisc)ax2,1.4067622733814273,2.7190962414106106,-1.553573336
13,Fe(III)(isothiocyanate)4eq(pisc)ax1(pisc)ax2,1.3997464692612054,2.8058398714766914,3.4891572
14,Co(II)(misc)4eq(misc)ax1(misc)ax2,-0.9087861019089468,2.151929761493165,10.6341097
15,Co(III)(misc)4eq(misc)ax1(misc)ax2,-0.9158019060291683,2.2386733915592463,73.69521731
16,Mn(II)(water)4eq(water)ax1(water)ax2,-3.1246439999862314,-2.3413531320218572,-48.93822752
17,Mn(III)(water)4eq(water)ax1(water)ax2,-3.1316598041064534,-2.2546095019557764,-50.23426744
18,Mn(III)(phen)3,7.056708377303861,-1.9477570154252566,-34.67519913
19,Mn(II)(phen)3,7.063724181424081,-2.0345006454913377,-22.26629277
20,Cr(III)(water)4eq(carbonyl)ax1(carbonyl)ax2,-3.4382779964438956,-0.32756478510272785,-23.40673399
21,Cr(II)(water)4eq(carbonyl)ax1(carbonyl)ax2,-3.4312621923236737,-0.4143084151688081,-36.19559296
22,Fe(III)(carbonyl)4eq(carbonyl)ax1(carbonyl)ax2,-3.7873101719746836,1.069839731697154,19.98293505
23,Fe(II)(carbonyl)4eq(carbonyl)ax1(carbonyl)ax2,-3.780294367854463,0.9830961016310731,30.25345419
24,Cr(III)(ox)4eq(carbonyl)ax1(carbonyl)ax2,-1.8430438293434075,-0.4254044378111128,-17.74441375
25,Mn(III)(tbuc)3,5.303103088382186,-0.21846793576829365,-41.85318266
26,Co(III)(water)4eq(water)ax1(water)ax2,-3.5910203602356603,2.125762932078351,2.369511452
27,Co(II)(water)4eq(water)ax1(water)ax2,-3.5840045561154383,2.0390193020122704,-19.17882693
