ox,alpha,misc.dent.ax,misc.dent.eq,f.chi.0.ax,f.chi.1.ax,f.chi.2.ax,f.chi.3.ax,f.Z.0.ax,f.Z.1.ax,f.Z.2.ax,f.Z.3.ax,f.I.0.ax,f.I.1.ax,f.I.2.ax,f.I.3.ax,f.T.0.ax,f.T.1.ax,f.T.2.ax,f.T.3.ax,f.S.0.ax,f.S.1.ax,f.S.2.ax,f.S.3.ax,f.chi.0.eq,f.chi.1.eq,f.chi.2.eq,f.chi.3.eq,f.Z.0.eq,f.Z.1.eq,f.Z.2.eq,f.Z.3.eq,f.I.0.eq,f.I.1.eq,f.I.2.eq,f.I.3.eq,f.T.0.eq,f.T.1.eq,f.T.2.eq,f.T.3.eq,f.S.0.eq,f.S.1.eq,f.S.2.eq,f.S.3.eq,lc.chi.0.ax,lc.chi.1.ax,lc.chi.2.ax,lc.chi.3.ax,lc.Z.0.ax,lc.Z.1.ax,lc.Z.2.ax,lc.Z.3.ax,lc.I.1.ax,lc.I.2.ax,lc.I.3.ax,lc.T.0.ax,lc.T.1.ax,lc.T.2.ax,lc.T.3.ax,lc.S.0.ax,lc.S.1.ax,lc.S.2.ax,lc.S.3.ax,lc.chi.0.eq,lc.chi.1.eq,lc.chi.2.eq,lc.chi.3.eq,lc.Z.0.eq,lc.Z.1.eq,lc.Z.2.eq,lc.Z.3.eq,lc.I.1.eq,lc.I.2.eq,lc.I.3.eq,lc.T.0.eq,lc.T.1.eq,lc.T.2.eq,lc.T.3.eq,lc.S.0.eq,lc.S.1.eq,lc.S.2.eq,lc.S.3.eq,mc.chi.0.all,mc.chi.1.all,mc.chi.2.all,mc.chi.3.all,mc.Z.0.all,mc.Z.1.all,mc.Z.2.all,mc.Z.3.all,mc.I.2.all,mc.I.3.all,mc.T.1.all,mc.T.2.all,mc.T.3.all,mc.S.0.all,mc.S.1.all,mc.S.2.all,mc.S.3.all,f.chi.0.all,f.chi.1.all,f.chi.2.all,f.chi.3.all,f.Z.0.all,f.Z.1.all,f.Z.2.all,f.Z.3.all,f.I.0.all,f.I.1.all,f.I.2.all,f.I.3.all,f.T.0.all,f.T.1.all,f.T.2.all,f.T.3.all,f.S.0.all,f.S.1.all,f.S.2.all,f.S.3.all,D_lc.chi.1.ax,D_lc.chi.2.ax,D_lc.chi.3.ax,D_lc.Z.1.ax,D_lc.Z.2.ax,D_lc.Z.3.ax,D_lc.T.1.ax,D_lc.T.2.ax,D_lc.T.3.ax,D_lc.S.1.ax,D_lc.S.2.ax,D_lc.S.3.ax,D_lc.chi.1.eq,D_lc.chi.2.eq,D_lc.chi.3.eq,D_lc.Z.1.eq,D_lc.Z.2.eq,D_lc.Z.3.eq,D_lc.T.1.eq,D_lc.T.2.eq,D_lc.T.3.eq,D_lc.S.1.eq,D_lc.S.2.eq,D_lc.S.3.eq,D_mc.chi.1.all,D_mc.chi.2.all,D_mc.chi.3.all,D_mc.Z.1.all,D_mc.Z.2.all,D_mc.Z.3.all,D_mc.T.1.all,D_mc.T.2.all,D_mc.T.3.all,D_mc.S.1.all,D_mc.S.2.all,D_mc.S.3.all
3,0.25,1,1,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,18.3361,17.544,0,0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,6.5025,8.772,0,0,36,48,0,0,1,0,0,1,1,0,0,0.5929,0.5621,0,0,3.5344,30.6064,50.6848,0,729,1026,1026,0,10,0,96,60,0,1.5876,5.7708,6.4764,0,124.402,211.6448,379.9948,727.3856,1233,2520,3266,2420,17,32,62,100,94,256,340,256,8.0372,19.3684,32.0754,39.2556,2.52,0,0,18,0,0,6,0,0,1.14,0,0,-0.89,0,0,-2,0,0,0,0,0,0.04,0,0,-5,-8.16,0,124,232,0,20,50,0,2.98,7.46,0
3,0.2,1,1,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,18.3361,17.544,0,0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,6.5025,8.772,0,0,36,48,0,0,1,0,0,1,1,0,0,0.5929,0.5621,0,0,3.5344,30.6064,50.6848,0,729,1026,1026,0,10,0,96,60,0,1.5876,5.7708,6.4764,0,124.402,211.6448,379.9948,727.3856,1233,2520,3266,2420,17,32,62,100,94,256,340,256,8.0372,19.3684,32.0754,39.2556,2.52,0,0,18,0,0,6,0,0,1.14,0,0,-0.89,0,0,-2,0,0,0,0,0,0.04,0,0,-5,-8.16,0,124,232,0,20,50,0,2.98,7.46,0
3,0.1,1,1,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,18.3361,17.544,0,0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,6.5025,8.772,0,0,36,48,0,0,1,0,0,1,1,0,0,0.5929,0.5621,0,0,3.5344,30.6064,50.6848,0,729,1026,1026,0,10,0,96,60,0,1.5876,5.7708,6.4764,0,124.402,211.6448,379.9948,727.3856,1233,2520,3266,2420,17,32,62,100,94,256,340,256,8.0372,19.3684,32.0754,39.2556,2.52,0,0,18,0,0,6,0,0,1.14,0,0,-0.89,0,0,-2,0,0,0,0,0,0.04,0,0,-5,-8.16,0,124,232,0,20,50,0,2.98,7.46,0
3,0.15,1,1,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,18.3361,17.544,0,0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,6.5025,8.772,0,0,36,48,0,0,1,0,0,1,1,0,0,0.5929,0.5621,0,0,3.5344,30.6064,50.6848,0,729,1026,1026,0,10,0,96,60,0,1.5876,5.7708,6.4764,0,124.402,211.6448,379.9948,727.3856,1233,2520,3266,2420,17,32,62,100,94,256,340,256,8.0372,19.3684,32.0754,39.2556,2.52,0,0,18,0,0,6,0,0,1.14,0,0,-0.89,0,0,-2,0,0,0,0,0,0.04,0,0,-5,-8.16,0,124,232,0,20,50,0,2.98,7.46,0
3,0.3,1,1,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,18.3361,17.544,0,0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,6.5025,8.772,0,0,36,48,0,0,1,0,0,1,1,0,0,0.5929,0.5621,0,0,3.5344,30.6064,50.6848,0,729,1026,1026,0,10,0,96,60,0,1.5876,5.7708,6.4764,0,124.402,211.6448,379.9948,727.3856,1233,2520,3266,2420,17,32,62,100,94,256,340,256,8.0372,19.3684,32.0754,39.2556,2.52,0,0,18,0,0,6,0,0,1.14,0,0,-0.89,0,0,-2,0,0,0,0,0,0.04,0,0,-5,-8.16,0,124,232,0,20,50,0,2.98,7.46,0
2,0.2,2,2,122.2282,268.821,406.906,466.2082,466,1080,1420,1318,20,42,64,76,106,258,344,330,8.1492,19.8506,27.8752,28.2572,122.2282,268.821,406.906,466.2082,466,1080,1420,1318,20,42,64,76,106,258,344,330,8.1492,19.8506,27.8752,28.2572,9.2416,15.504,29.944,38.1216,49,84,133,147,2,4,5,4,12,20,20,0.5625,1.155,2.01,2.2725,9.2416,15.504,29.944,38.1216,49,84,133,147,2,4,5,4,12,20,20,0.5625,1.155,2.01,2.2725,2.7556,30.2784,50.796,72.708,576,1008,1728,1872,12,18,108,216,252,1.6129,5.715,11.7348,14.5542,369.4402,867.0198,1599.558,2325.807,1974,5256,9186,11940,61,138,246,366,384,1062,1854,2538,26.0605,70.9818,123.9702,172.875,0.98,2.31,2.66,2,9,14,-2,-2,0,-0.04,0.32,0.72,0.98,2.31,2.66,2,9,14,-2,-2,0,-0.04,0.32,0.72,-8.28,-10.68,-13.92,102,216,354,18,36,66,3.12,6,11.4
3,0.2,1,1,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,2.7556,32.9344,51.128,0,576,1104,336,0,14,0,120,84,0,1.6129,5.6134,6.5786,0,136.3332,267.2128,526.864,1020.8,944,2420,2454,1076,21,40,78,140,118,336,520,464,6.7861,18.8784,32.175,38.1396,2.52,0,0,18,0,0,6,0,0,1.14,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,-9.88,-7.56,0,98,322,0,16,70,0,3.2,12.6,0
3,0.15,1,1,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,2.7556,32.9344,51.128,0,576,1104,336,0,14,0,120,84,0,1.6129,5.6134,6.5786,0,136.3332,267.2128,526.864,1020.8,944,2420,2454,1076,21,40,78,140,118,336,520,464,6.7861,18.8784,32.175,38.1396,2.52,0,0,18,0,0,6,0,0,1.14,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,-9.88,-7.56,0,98,322,0,16,70,0,3.2,12.6,0
3,0.3,1,1,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,2.7556,32.9344,51.128,0,576,1104,336,0,14,0,120,84,0,1.6129,5.6134,6.5786,0,136.3332,267.2128,526.864,1020.8,944,2420,2454,1076,21,40,78,140,118,336,520,464,6.7861,18.8784,32.175,38.1396,2.52,0,0,18,0,0,6,0,0,1.14,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,-9.88,-7.56,0,98,322,0,16,70,0,3.2,12.6,0
3,0.25,1,1,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,2.7556,32.9344,51.128,0,576,1104,336,0,14,0,120,84,0,1.6129,5.6134,6.5786,0,136.3332,267.2128,526.864,1020.8,944,2420,2454,1076,21,40,78,140,118,336,520,464,6.7861,18.8784,32.175,38.1396,2.52,0,0,18,0,0,6,0,0,1.14,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,-9.88,-7.56,0,98,322,0,16,70,0,3.2,12.6,0
