MOF,Pressure (kPa),Temp (K)
FUHTAG_clean,3.18891983343892,298
FUHTAG_clean,5.03591081919282,298
FUHTAG_clean,8.060971496510659,298
FUHTAG_clean,10.24385331978302,298
FUHTAG_clean,12.9330231595824,298
FUHTAG_clean,15.623418883172798,298
FUHTAG_clean,19.6606469562818,298
FUHTAG_clean,24.2053889403746,298
FUHTAG_clean,27.7395980137332,298
FUHTAG_clean,31.7813209847434,298
FUHTAG_clean,35.9930325054986,298
FUHTAG_clean,39.5309192262306,298
FUHTAG_clean,46.6095530378758,298
FUHTAG_clean,53.1839419673128,298
FUHTAG_clean,59.75914814727759,298
FUHTAG_clean,66.3351715911024,298
FUHTAG_clean,86.574433414273,298
FUHTAG_clean,92.9833286918662,298
FUHTAG_clean,101.0814851833836,298
USUNUU_clean,1.0841605,298
USUNUU_clean,3.6808067,298
USUNUU_clean,6.7106317,298
USUNUU_clean,9.5220472,298
USUNUU_clean,11.6861213,298
USUNUU_clean,14.2821608,298
USUNUU_clean,17.094182999999997,298
USUNUU_clean,19.9062053,298
USUNUU_clean,22.2850487,298
USUNUU_clean,24.8804815,298
USUNUU_clean,27.4747009,298
USUNUU_clean,30.5027059,298
USUNUU_clean,32.880942600000004,298
USUNUU_clean,35.6929648,298
USUNUU_clean,37.8552188,298
USUNUU_clean,40.8814036,298
USUNUU_clean,43.260247,298
USUNUU_clean,46.0716626,298
USUNUU_clean,48.665882,298
USUNUU_clean,51.2601014,298
USUNUU_clean,54.2862863,298
USUNUU_clean,56.8811124,298
USUNUU_clean,59.0433664,298
USUNUU_clean,61.8541753,298
USUNUU_clean,64.44778799999999,298
USUNUU_clean,67.0426141,298
USUNUU_clean,70.0694057,298
USUNUU_clean,72.231053,298
USUNUU_clean,75.04186179999999,298
USUNUU_clean,77.8514573,298
USUNUU_clean,80.4456767,298
USUNUU_clean,82.82391340000001,298
USUNUU_clean,85.6335089,298
USUNUU_clean,88.2271216,298
USUNUU_clean,90.6047516,298
USUNUU_clean,93.6315432,298
USUNUU_clean,96.0097799,298
USUNUU_clean,98.819982,298
USUNUU_clean,101.4135948,298
USUNUU_clean,103.5746354,298
KAFTUI_clean,0.234375,283
KAFTUI_clean,0.23671875,283
KAFTUI_clean,0.859375,283
KAFTUI_clean,0.9375,283
KAFTUI_clean,1.09375,283
KAFTUI_clean,1.25,283
KAFTUI_clean,1.5625,283
KAFTUI_clean,1.796875,283
KAFTUI_clean,2.265625,283
KAFTUI_clean,2.421875,283
KAFTUI_clean,2.734375,283
KAFTUI_clean,3.125,283
KAFTUI_clean,3.75,283
KAFTUI_clean,4.453125,283
KAFTUI_clean,5.390625,283
KAFTUI_clean,7.1875,283
KAFTUI_clean,7.96875,283
KAFTUI_clean,9.0625,283
KAFTUI_clean,9.765625,283
KAFTUI_clean,13.28125,283
KAFTUI_clean,16.875,283
KAFTUI_clean,18.671875,283
KAFTUI_clean,22.109375,283
KAFTUI_clean,25.46875,283
KAFTUI_clean,29.0625,283
KAFTUI_clean,32.109375,283
KAFTUI_clean,35.546875,283
FATYAE_clean,0.398312236,273
FATYAE_clean,1.723769339,273
FATYAE_clean,3.044725738,273
FATYAE_clean,5.474542897,273
FATYAE_clean,10.77299578,273
FATYAE_clean,15.85147679,273
FATYAE_clean,20.93108298,273
FATYAE_clean,26.68073136,273
FATYAE_clean,31.76483826,273
FATYAE_clean,37.0745429,273
FATYAE_clean,42.16202532,273
FATYAE_clean,47.69732771,273
FATYAE_clean,53.01040788,273
FATYAE_clean,58.32798875,273
FATYAE_clean,63.42109705,273
FATYAE_clean,68.73867792,273
FATYAE_clean,73.61518987,273
FATYAE_clean,79.60056259,273
FATYAE_clean,84.47819972,273
FATYAE_clean,89.58030942,273
FATYAE_clean,94.902391,273
FATYAE_clean,100.4489451,273
FATYAE_clean,103.3322082,273
XANZAQ_clean,0.574706051,296
XANZAQ_clean,1.726030016,296
XANZAQ_clean,3.061275213,296
XANZAQ_clean,5.728324252,296
XANZAQ_clean,10.86741229,296
XANZAQ_clean,16.37625466,296
XANZAQ_clean,21.69161648,296
XANZAQ_clean,27.00391932,296
XANZAQ_clean,32.12350636,296
XANZAQ_clean,37.80938725,296
XANZAQ_clean,43.11557213,296
XANZAQ_clean,48.23018832,296
XANZAQ_clean,53.346334,296
XANZAQ_clean,58.83911672,296
XANZAQ_clean,64.33228181,296
XANZAQ_clean,69.44575088,296
XANZAQ_clean,74.93776886,296
XANZAQ_clean,80.24013001,296
XANZAQ_clean,85.35283434,296
XANZAQ_clean,90.65519549,296
XANZAQ_clean,96.14644871,296
XANZAQ_clean,101.2587707,296
XANZAQ_clean,104.288309,296
MEDWEB_clean,3.96039604,298
MEDWEB_clean,5.280528053,298
MEDWEB_clean,6.050605061,298
MEDWEB_clean,6.930693069,298
MEDWEB_clean,8.140814081,298
MEDWEB_clean,9.02090209,298
MEDWEB_clean,9.900990099,298
MEDWEB_clean,19.9119912,298
MEDWEB_clean,30.0330033,298
MEDWEB_clean,39.8239824,298
MEDWEB_clean,49.9449945,298
MEDWEB_clean,59.8459846,298
MEDWEB_clean,69.9669967,298
MEDWEB_clean,79.9779978,298
MEDWEB_clean,90.0990099,298
MEDWEB_clean,95.04950495,298
UCAVON_clean,1.040551603,273
UCAVON_clean,1.153719679,273
UCAVON_clean,6.199756522,273
UCAVON_clean,8.201274759,273
UCAVON_clean,9.263515452,273
UCAVON_clean,10.32645579,273
UCAVON_clean,12.21725472,273
UCAVON_clean,15.64675468,273
UCAVON_clean,19.08115218,273
UCAVON_clean,22.87289493,273
UCAVON_clean,26.19027629,273
UCAVON_clean,29.62782221,273
UCAVON_clean,33.30359829,273
UCAVON_clean,36.74324315,273
UCAVON_clean,40.18323783,273
UCAVON_clean,43.98057777,273
UCAVON_clean,47.30145737,273
UCAVON_clean,50.98073169,273
UCAVON_clean,54.30301059,273
UCAVON_clean,58.10209964,273
UCAVON_clean,61.66155924,273
UCAVON_clean,64.86577252,273
UCAVON_clean,68.54574649,273
UCAVON_clean,72.22537064,273
UCAVON_clean,75.31151831,273
UCAVON_clean,78.87167755,273
UCAVON_clean,82.79023151,273
UCAVON_clean,86.35039075,273
UCAVON_clean,89.79353385,273
UCAVON_clean,93.59262291,273
UCAVON_clean,96.91665092,273
IWEKED_clean,0.0,298
IWEKED_clean,0.7207207207,298
IWEKED_clean,1.261261261,298
IWEKED_clean,1.981981982,298
IWEKED_clean,3.063063063,298
IWEKED_clean,5.045045045,298
IWEKED_clean,10.09009009,298
IWEKED_clean,12.61261261,298
IWEKED_clean,14.95495495,298
IWEKED_clean,20.36036036,298
IWEKED_clean,25.225225230000003,298
IWEKED_clean,29.90990991,298
IWEKED_clean,40.0,298
IWEKED_clean,49.90990991,298
IWEKED_clean,59.81981982,298
IWEKED_clean,70.09009009,298
IWEKED_clean,79.81981982,298
IWEKED_clean,89.90990991000001,298
ESUXUO_clean,4.464285714,298
ESUXUO_clean,9.285714286,298
ESUXUO_clean,14.10714286,298
ESUXUO_clean,19.10714286,298
ESUXUO_clean,23.92857143,298
ESUXUO_clean,29.10714286,298
ESUXUO_clean,33.92857143,298
ESUXUO_clean,39.28571429,298
ESUXUO_clean,43.92857143,298
ESUXUO_clean,48.75,298
ESUXUO_clean,53.92857143,298
ESUXUO_clean,59.28571429,298
ESUXUO_clean,63.92857143,298
ESUXUO_clean,68.75,298
ESUXUO_clean,74.10714286,298
ESUXUO_clean,79.10714286,298
ESUXUO_clean,84.10714286,298
ESUXUO_clean,88.92857143,298
ESUXUO_clean,94.10714286,298
EHUTAE_clean,0.896861,273
EHUTAE_clean,1.1958145999999998,273
EHUTAE_clean,1.6442451,273
EHUTAE_clean,2.0926756,273
EHUTAE_clean,2.8400598,273
EHUTAE_clean,4.0358744,273
EHUTAE_clean,5.2316891,273
EHUTAE_clean,5.5306428,273
EHUTAE_clean,5.8295964,273
EHUTAE_clean,6.2780269,273
EHUTAE_clean,7.0254111,273
EHUTAE_clean,7.4738416,273
EHUTAE_clean,7.922271999999999,273
EHUTAE_clean,8.3707025,273
EHUTAE_clean,8.819132999999999,273
EHUTAE_clean,9.2675635,273
EHUTAE_clean,10.3139013,273
EHUTAE_clean,12.1076233,273
EHUTAE_clean,13.9013453,273
EHUTAE_clean,15.9940209,273
EHUTAE_clean,17.6382661,273
EHUTAE_clean,19.8804185,273
EHUTAE_clean,24.813154,273
EHUTAE_clean,30.044843,273
EHUTAE_clean,34.9775785,273
EHUTAE_clean,40.0597907,273
EHUTAE_clean,45.142003,273
EHUTAE_clean,50.3736921,273
EHUTAE_clean,55.3064275,273
EHUTAE_clean,60.3886398,273
EHUTAE_clean,65.47085200000001,273
EHUTAE_clean,69.6562033,273
EHUTAE_clean,75.6352765,273
EHUTAE_clean,79.8206278,273
EHUTAE_clean,84.90284009999999,273
EHUTAE_clean,89.9850523,273
EHUTAE_clean,94.9177877,273
PERHIH_clean,0.010680789,298
PERHIH_clean,1.021795485,298
PERHIH_clean,1.275909258,298
PERHIH_clean,3.67485898,298
PERHIH_clean,6.582036248,298
PERHIH_clean,9.990098018,298
PERHIH_clean,13.39838231,298
PERHIH_clean,16.55277534,298
PERHIH_clean,20.08455625,298
PERHIH_clean,26.76805999,298
PERHIH_clean,33.32406182,298
PERHIH_clean,40.00422781,298
PERHIH_clean,46.43139262,298
PERHIH_clean,53.36166709,298
PERHIH_clean,60.03894038,298
PERHIH_clean,66.96832478,298
PERHIH_clean,73.26821019,298
PERHIH_clean,80.07031519,298
PERHIH_clean,86.74692093,298
PERHIH_clean,93.67563779,298
PERHIH_clean,101.2342987,298
LEVQAI_clean,0.097684959,298
LEVQAI_clean,0.19787466,298
LEVQAI_clean,0.398913205,298
LEVQAI_clean,0.40290233705,298
LEVQAI_clean,0.699482309,298
LEVQAI_clean,0.797826411,298
LEVQAI_clean,1.801964509,298
LEVQAI_clean,3.407768129,298
LEVQAI_clean,6.830828371,298
LEVQAI_clean,13.0862251,298
