MOF,Pressure (kPa),Temp (K)
PERHIH_clean,0.0004,273
PERHIH_clean,0.279121517,273
PERHIH_clean,1.603134675,273
PERHIH_clean,4.7719137,273
PERHIH_clean,6.357149768,273
PERHIH_clean,9.919456269,273
PERHIH_clean,13.34994195,273
PERHIH_clean,16.25120937,273
PERHIH_clean,19.81037152,273
PERHIH_clean,23.36759868,273
PERHIH_clean,26.6621517,273
PERHIH_clean,33.37969234,273
PERHIH_clean,39.70080302,273
PERHIH_clean,46.41640867,273
PERHIH_clean,53.26214203,273
PERHIH_clean,59.97557082,273
PERHIH_clean,66.68851587,273
PERHIH_clean,73.53303986,273
PERHIH_clean,80.24574303,273
PERHIH_clean,86.56346749,273
PERHIH_clean,93.14459172,273
PERHIH_clean,101.0402961,273
XAPFOM_clean,0.6002401,298
XAPFOM_clean,12.8451381,298
XAPFOM_clean,16.326530599999998,298
XAPFOM_clean,20.1680672,298
XAPFOM_clean,25.090036,298
XAPFOM_clean,31.8127251,298
XAPFOM_clean,39.8559424,298
XAPFOM_clean,50.5402161,298
XAPFOM_clean,56.182473,298
XAPFOM_clean,63.1452581,298
XAPFOM_clean,70.70828329999999,298
XAPFOM_clean,79.1116447,298
XAPFOM_clean,89.1956783,298
FAWCEN_clean,1.1684518,323
FAWCEN_clean,5.1606621,323
FAWCEN_clean,10.2239533,323
FAWCEN_clean,16.6504382,323
FAWCEN_clean,20.2531646,323
FAWCEN_clean,25.2190847,323
FAWCEN_clean,30.379746800000003,323
FAWCEN_clean,35.443038,323
FAWCEN_clean,40.6037001,323
FAWCEN_clean,47.8091529,323
FAWCEN_clean,55.0146056,323
FAWCEN_clean,61.92794550000001,323
FAWCEN_clean,69.0360273,323
FAWCEN_clean,76.0467381,323
FAWCEN_clean,83.0574489,323
FAWCEN_clean,88.12074,323
ELUJED_clean,0.165289256,273
ELUJED_clean,0.495867769,273
ELUJED_clean,0.661157025,273
ELUJED_clean,1.157024793,273
ELUJED_clean,1.32231405,273
ELUJED_clean,2.148760331,273
ELUJED_clean,2.809917355,273
ELUJED_clean,3.140495868,273
ELUJED_clean,3.636363636,273
ELUJED_clean,4.132231405,273
ELUJED_clean,4.462809917,273
ELUJED_clean,5.123966942,273
ELUJED_clean,6.115702479,273
ELUJED_clean,6.776859504,273
ELUJED_clean,7.107438017,273
ELUJED_clean,7.603305785,273
ELUJED_clean,8.099173554,273
ELUJED_clean,8.595041322,273
ELUJED_clean,9.256198347,273
ELUJED_clean,9.752066116,273
ELUJED_clean,10.41322314,273
ELUJED_clean,11.23966942,273
ELUJED_clean,12.39669421,273
ELUJED_clean,13.38842975,273
ELUJED_clean,14.04958678,273
ELUJED_clean,15.37190083,273
ELUJED_clean,16.03305785,273
ELUJED_clean,17.52066116,273
ELUJED_clean,19.33884298,273
ELUJED_clean,20.0,273
ELUJED_clean,20.49586777,273
ELUJED_clean,22.31404959,273
ELUJED_clean,23.30578512,273
ELUJED_clean,23.80165289,273
ELUJED_clean,26.28099174,273
ELUJED_clean,27.43801653,273
ELUJED_clean,27.9338843,273
ELUJED_clean,30.41322314,273
ELUJED_clean,31.23966942,273
ELUJED_clean,32.23140496,273
ELUJED_clean,34.38016529,273
ELUJED_clean,35.53719008,273
ELUJED_clean,36.52892562,273
ELUJED_clean,38.84297521,273
ELUJED_clean,39.83471074,273
ELUJED_clean,40.49586777,273
ELUJED_clean,43.47107438,273
ELUJED_clean,44.95867769,273
ELUJED_clean,48.59504132,273
ELUJED_clean,50.5785124,273
ELUJED_clean,53.88429752,273
ELUJED_clean,55.20661157,273
ELUJED_clean,58.84297521,273
ELUJED_clean,60.16528926,273
ELUJED_clean,63.96694215,273
ELUJED_clean,65.2892562,273
ELUJED_clean,69.25619835,273
ELUJED_clean,70.24793388,273
