f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,filename,0,CoRE_name,refcode,T,name,Df,Di,Dif,GPOAV,GPONAV,GPOV,GSA,POAV,POAV_vol_frac,PONAV,PONAV_vol_frac,VPOV,VSA,cell_v
173.7195,376.6976,793.6368,1049.2824,8508,13878,20980,23886,23,56,108,142,164,462,796,882,19.3172,48.9366,89.9438,112.027,2.8561,22.53333333,29.41726667,51.15066667,2304,2096,3360,4144,1,4.333333333,6.666666667,11.66666667,19,48,91.33333333,118.6666667,2.1904,5.2836,8.238666667,11.59826667,0,-6.01,-6.14,-10.55,0,164.3333333,250,473.6666667,0,0,0,0,0,8,8,23,0,2.843333333,4.3,9.43,50.4098,102.9392,134.4834,49.192,221,458,492,52,7,14,18,8,32,68,74,20,3.1471,6.8846,7.9658,2.2496,9.2416,16.49706667,26.40746667,4.458666667,49,88.66666667,102.6666667,4.666666667,1,2,3.333333333,0.666666667,4,10.66666667,12,1.333333333,0.5625,1.145,1.505,0.185,54.76,148,173.230152,22.235076,0,0.653333333,1.446666667,0.56,0,1.333333333,8.666666667,4,0,0,0,0,0,-1.333333333,0.666666667,0.666666667,0,-0.026666667,0.493333333,0.253333333,0,-5.2,1.257186667,1.928593333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EZABEN_clean.cif,,EZABEN_clean,EZABEN,423.0659293,EZABEN.csv,3.75233,5.22809,5.19001,0,0.204883,0.20488247,0,0,0,440.763,0.3707,0.3707,0,1189
92.5964,170.24,240.4392,372.096,1325,2296,3660,2016,13,24,36,48,60,144,180,144,8.8976,17.52,28.4948,27.72,3.61,23.104,38.76,79.648,841,812,1392,1856,1,4,8,16,16,48,96,112,1.9044,4.14,8.5008,12.3648,0,-4.56,-5.2,-11.52,0,88,184,400,0,0,0,0,0,4,8,36,0,2.52,4.88,13.12,165.5496,365.6614,609.8668,636.681,594,1396,1816,1272,26,54,92,106,146,364,492,452,9.761,24.195,35.4476,33.061,9.2416,15.504,31.8592,7.752,49,84,112,42,1,2,4,1,4,12,14,8,0.5625,1.155,1.68,0.5775,54.76,167.24,176.225228,83.62,0,0.98,1.68,0.49,0,2,12,1,0,0,0,0,0,-2,1,-2,0,-0.04,0.76,-0.02,0,-7.8,5.78578,-3.9,9.2416,20.8696,38.1216,27.816,49,112,147,63,1,2.5,5,4,6.5,19.5,28,17.5,0.5625,1.42875,2.2725,1.41,54.76,180.19,288.705228,183.677842,0,0.735,2.66,3.01,0,1.5,14,19,0,0,0,0,0,-1,2,3,0,-0.03,0.72,1.12,0,-5.85,-2.01422,4.77867,MOFKUO_clean.cif,,MOFKUO_clean,MOFKUO,328.7584323,MOFKUO.csv,5.89372,10.06674,10.06543,0.614226,0,0.614225736,1995.32,2741.6,0.4762,0,0,0.4762,1546.94,5757.25
83.8879,139.872,202.3112,299.472,1342,2328,2978,1632,11,20,28,36,48,112,126,88,7.4643,14.6236,21.0468,20.482,2.7225,21.384,25.245,51.117,900,900,1080,1680,1,4,6,12,16,40,72,104,1.7161,3.8776,6.0522,9.9036,0,-6.36,-5.4,-11.18,0,90,144,304,0,0,0,0,0,6,6,22,0,2.28,3.24,8.16,123.6488,246.891,396.9952,466.523,473,960,1264,1076,19,38,62,76,100,244,314,306,7.4667,17.4174,24.7454,25.7344,10.5376,12.138,24.7428,22.518,56.5,66,105,60,1,1.5,3,3,2.5,7.5,10.5,8,0.5477,0.85855,1.4025,1.1174,41.425,113.565,160.962614,128.995297,0,0.935,1.775,2.77,0,2,8,14.5,0,0,0,0,0,-2,-1.5,-1,0,-0.04,0.34,0.71,0,-6.9,-4.00711,-1.26422,5.9168,4.386,10.3028,11.954,32,24,56,32,0.5,0.5,1,1.5,0.5,1.5,2.5,3,0.26645,0.28105,0.5475,0.55115,14.045,29.945,43.99,53.832683,0,0.445,0.445,1.685,0,1,1,8,0,0,0,0,0,-1,-1.5,-1.5,0,-0.02,-0.02,0.34,0,-3,-3,-2.20711,VIXTUT_clean.cif,,VIXTUT_clean,VIXTUT,262.8403238,VIXTUT.csv,3.00466,3.939,3.93726,0,0.0142709,0.014270846,0,0,0,34.6649,0.0181,0.0181,0,1915.19
188.2257,359.824,838.1532,907.472,2859,6752,10068,10432,21,52,90,116,150,416,650,696,15.7485,41.902,66.4554,79.6868,2.4025,24.88266667,19.01333333,44.24733333,625,933.3333333,1433.333333,1666.666667,1,4.666666667,5.333333333,9.333333333,22.66666667,52,92,113.3333333,1.9321,4.735266667,6.857333333,9.692933333,0,-8.82,-4,-14.08,0,79.33333333,76,166.6666667,0,0,0,0,0,12,8,22,0,3.08,2.48,6,207.413,403.8228,664.5906,823.934,1152,2384,3336,3688,29,60,96,124,156,388,552,604,13.6336,31.7764,47.7496,56.382,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,10.10786667,16.2196,28.35706667,39.732,128,234.6666667,234.6666667,277.3333333,1,2,3.333333333,5.333333333,6,13.33333333,20.66666667,29.33333333,0.702066667,1.5164,2.151933333,3.049333333,144.18,283.24,390.8733333,568.583912,0,0.02,1.226666667,2.92,0,6.666666667,16,38.66666667,0,0,0,0,0,0.666666667,-1.333333333,0,0,0.166666667,0.28,1.093333333,0,5.4,2.8,14.65718667,PUGFII_clean.cif,,PUGFII_clean,PUGFII,431.9409732,PUGFII.csv,2.99483,5.59363,4.67547,0,0.115181,0.115180889,0,0,0,824.457,0.1433,0.1433,0,5753.36
325.9534667,649.026,1353.9792,1391.862667,20945.33333,51088,72792,74389.33333,44,105.3333333,177.3333333,209.3333333,326.6666667,964,1260,1420,38.77606667,110.1390667,167.4444,200.7436,3.076666667,20.83066667,20.45888889,47.87777778,1376.111111,4086.666667,3004.222222,5242,1,4.444444444,5.333333333,10,21.77777778,59.33333333,77.11111111,114.2222222,2.115888889,6.817777778,8.311244444,12.15406667,0,-5.933333333,-2.3,-9.28,0,43.11111111,81.11111111,162.6666667,0,0,0,0,0,9.111111111,4.666666667,15.55555556,0,1.932222222,1.766666667,5.74,91.2838,176.001,261.8652,273.572,397,768,1020,884,13,26,38,42,64,150,190,168,5.7333,12.7666,17.2678,16.611,10.49305385,12.36357692,22.9912359,19.34448718,56.46153846,67.38461538,103.8974359,80.71794872,1,1.512820513,2.717948718,2.512820513,2.692307692,7.153846154,9.384615385,8.820512821,0.548141026,0.863782051,1.322753846,1.175748718,45.32538462,112.8551282,153.2546972,149.0111603,0,0.716923077,1.456923077,1.836923077,0,1.538461538,6.153846154,7.692307692,0,0,0,0,0,-1.538461538,-1.128205128,-1.58974359,0,-0.030769231,0.235897436,0.282051282,0,-5.261538462,-4.107668718,-5.047224103,0.910276923,0.674769231,1.585046154,1.349538462,4.923076923,3.692307692,8.615384615,7.384615385,0.076923077,0.076923077,0.153846154,0.153846154,0.076923077,0.230769231,0.307692308,0.461538462,0.040992308,0.043238462,0.084230769,0.086476923,2.160769231,4.606923077,6.767692308,9.213846154,0,0.068461538,0.068461538,0.136923077,0,0.153846154,0.153846154,0.307692308,0,0,0,0,0,-0.153846154,-0.153846154,-0.307692308,0,-0.003076923,-0.003076923,-0.006153846,0,-0.461538462,-0.461538462,-0.923076923,ELERIX_clean.cif,,ELERIX_clean,ELERIX,332.4141589,ELERIX.csv,3.05944,3.74206,3.74206,0,0,0,0,0,0,0,0,0,0,3128.07
152.0224,280.36,531.4446,636.056,3457,6064,10764,9632,18,40,64,86,104,272,414,424,13.0458,30.5724,48.5284,56.283,2.7225,20.812,20.295,45.276,900,880,2310,1920,1,3.666666667,5.666666667,8.666666667,13.66666667,34.66666667,60.33333333,71.33333333,1.7161,3.506433333,6.606766667,8.427666667,0,-6.563333333,-2.95,-13.14,0,80.66666667,93,196,0,0,0,0,0,4.333333333,4.666666667,12.66666667,0,2.126666667,2.38,4.92,240.7538,454.767,707.7908,849.099,1166,2208,3296,3480,32,66,100,126,166,404,560,598,15.7568,34.9426,50.9252,58.9358,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,YONNAR_clean.cif,,YONNAR_clean,YONNAR,443.3888448,YONNAR.csv,5.70578,11.86103,11.72639,0.963234,0,0.963233688,2979.42,16659.6,0.666,0,0,0.666,2060.03,25014.4
76.0669,115.584,175.6632,210.528,1300,2304,2208,1152,9,16,20,24,36,80,80,48,6.2193,12.1472,14.4644,13.4904,2.7225,22.704,16.83,39.534,900,960,720,1680,1,4,4,8,16,32,48,64,1.7161,3.8252,4.0348,7.86,0,-7.16,-3.6,-10.76,0,88,96,184,0,0,0,0,0,8,4,16,0,2.32,2.16,4.48,239.5824,450.84,712.9418,870.404,1158,2184,3320,3620,31,64,98,124,162,396,554,620,15.1039,33.6336,49.493,58.0252,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,11.8336,10.5264,23.50208,27.1072,64,57.6,128,121.6,1,1.2,2.4,3.2,1.6,4.8,8,11.2,0.5329,0.67452,1.32568,1.56512,28.09,71.868,118.296,162.8461464,0,1.068,1.424,3.128,0,2.4,3.2,10.4,0,0,0,0,0,-2,-2.4,-3.2,0,-0.048,-0.064,0.192,0,-7.2,-9.6,-13.765688,YARKOT_clean.cif,,YARKOT_clean,YARKOT,329.7266352,YARKOT.csv,3.98299,5.24895,5.22518,0.423468,0,0.423468264,1367.14,573.244,0.4077,0,0,0.4077,1316.23,1406.04
127.8988,244.928,456.1952,525.632,2338,4480,4832,6016,14,32,48,64,80,192,256,320,10.4436,25.112,34.0544,43.0992,3.61,26.144,19.38,45.524,841,928,696,1624,1,4,4,8,16,32,48,80,1.9044,4.0296,4.2504,8.28,0,-6.16,-2.6,-8.76,0,84,92,176,0,0,0,0,0,8,4,12,0,2.6,2.44,5.04,331.2392333,642.396,1046.146067,1350.752,1568.333333,3060,4794.666667,5416,44.66666667,94,150,204,244,618,929.3333333,1122.666667,21.43486667,49.12086667,75.7286,94.5868,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,VOGPEO_clean.cif,,VOGPEO_clean,VOGPEO,258.432478,VOGPEO.csv,6.98632,11.03919,11.02639,0.811731,0,0.811731059,2565.98,4850.54,0.6227,0,0,0.6227,1968.43,7789.52
252.0645,461.7414,703.6296,1083.6096,8238,10440,13326,9078,33,66,96,138,162,396,510,522,23.8158,50.4474,74.7828,85.611,2.8561,21.9024,25.857,55.1954,2304,1440,1728,3264,1,4,6,12,16,40,72,120,2.1904,4.3808,6.8376,12.3136,0,-6.2,-5.16,-12.38,0,162,252,508,0,0,0,0,0,6,6,18,0,2.96,4.26,9.44,220.4108,450.891,764.8148,889.0408,896,1872,2708,2452,32,66,112,136,178,446,608,606,13.1392,31.185,46.9384,49.6024,10.5376,12.138,26.0196,28.4156,56.5,66,126,105.5,1,1.5,3,3.5,2.5,7.5,12.5,13,0.5477,0.85855,1.545,1.54115,41.425,113.565,171.666307,167.07899,0,0.935,1.355,2.35,0,2,5,11.5,0,0,0,0,0,-2,-2.5,-2.5,0,-0.04,0.15,0.52,0,-6.9,-5.453555,-2.710665,10.5376,16.014,36.5836,35.1036,56.5,87,154,112.5,1,2,4.5,4.5,5,16.5,25,19.5,0.5477,1.1473,2.11125,1.81865,41.425,155.375,246.828921,200.431604,0,1.18,2.44,3.19,0,2.5,11.5,17.5,0,0,0,0,0,-1.5,1.5,2,0,-0.05,0.52,0.9,0,-8.85,-4.510665,0.182225,TONLOY_clean.cif,,TONLOY_clean,TONLOY,263.6939958,TONLOY.csv,6.92579,7.42094,7.42094,0.156131,0,0.156130972,470.367,604.592,0.2357,0,0,0.2357,710.081,2565.09
142.2223,268.816,394.6916,403.952,2416,4508,4496,2992,17,36,46,48,90,216,228,176,12.2815,27.594,33.4038,28.8852,3.61,25.384,19.38,34.276,841,899,696,986,1,4,4,7,16,36,48,64,1.9044,4.0572,4.2504,6.279,0,-5.76,-2.6,-4.74,0,85,92,169,0,0,0,0,0,7,4,12,0,2.58,2.44,5.11,133.13615,262.395,402.9328,460.7575,588.5,1170,1648,1666,19,39,59,71,98,237,323,341,8.5467,19.4887,27.7491,30.3059,10.5376,12.138,24.7428,19.336,56.5,66,105,76,1,1.5,3,2.5,2.5,7.5,10,8,0.5477,0.85855,1.4025,1.12835,41.425,113.565,160.962614,135.052614,0,0.935,1.775,1.975,0,2,8,8.5,0,0,0,0,0,-2,-1,-1.5,0,-0.04,0.34,0.33,0,-6.9,-4.00711,-5.05711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FATVOM_clean.cif,,FATVOM_clean,FATVOM,255.6586375,FATVOM.csv,4.0358,4.53669,4.53669,0.128851,0,0.12885098,289.59,209.852,0.2059,0,0,0.2059,462.756,1019.2
