MOF_name,data_set,water_label,acid_label,base_label,boiling_label,Di,Df,Dif,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3
ACOFUU,CoRE,2,0,0,0,7.99458,6.6741100000000015,7.99458,2280.1,2609.36,0.5866,0.6713106808893894,0.5866,0.0,0.671311,0.0,0.0799999999999999,0.48,0.9333333333333332,-0.6666666666666666,2.0,1.3333333333333333,4.333333333333333,9.333333333333334,20.0,-7.535703333333334,-1.3428133333333332,-5.485626666666668,1.3933333333333338,1.7733333333333337,4.079999999999999,-0.04,0.72,0.74,-2.0,0.0,1.0,2.0,14.0,13.0,-7.800000000000002,-2.01422,1.8857800000000005,0.9800000000000004,2.66,2.17,1.0,2.333333333333333,4.666666666666667,6.0,0.5526333333333332,1.242366666666667,2.245,2.6371333333333333,6.333333333333332,19.0,28.0,34.0,54.0,88.33333333333331,172.66666666666663,169.66666666666666,45.87,170.4475380000001,244.7634853333334,321.5486603333334,10.1056,18.07333333333333,39.357866666666666,45.98106666666667,2.0,4.0,3.0,0.5625,1.155,1.71,1.1324999999999998,4.0,12.0,16.0,10.0,49.0,84.0,98.0,56.0,54.76000000000001,167.24,233.94522800000004,150.325228,9.2416,15.504,28.88000000000001,21.128,1.4600000000000004,2.16,5.92,8.0,4.0,16.0,36.0,96.0,212.0,-5.4,-3.6,-5.8000000000000025,9.0,16.0,24.0,24.0,7.8119,14.5236,21.0054,18.6648,40.0,88.0,80.0,40.0,3592.0,5376.0,6092.0,3696.0,64.7389,101.616,167.6636,182.784,4.0,4.0,8.0,1.7161000000000002,4.9518,4.0348000000000015,5.973600000000001,16.0,32.0,48.0,64.0,900.0,2520.0,720.0,840.0,2.7225,19.8,16.83,31.35,84.0,176.0,296.0,400.0,32.7828,81.00640000000007,121.78639999999996,148.8352,472.0,1192.0,1696.0,2024.0,2032.0,4616.0,6536.0,7248.0,540.5536000000002,1176.9319999999998,1966.5344000000007,2565.1968
ACOGAB,CoRE,2,0,0,0,5.20086,3.89327,4.83563,1877.51,1626.15,0.3717,0.3219352491815205,0.3717,0.0,0.321936,0.0,0.0799999999999999,0.48,0.9333333333333332,-0.6666666666666666,2.0,1.3333333333333333,4.333333333333333,9.333333333333334,20.0,-7.535703333333334,-1.3428133333333332,-5.485626666666668,1.3933333333333338,1.7733333333333337,4.079999999999999,-0.04,0.72,0.74,-2.0,0.0,1.0,2.0,14.0,13.0,-7.800000000000002,-2.01422,1.8857800000000005,0.9800000000000004,2.66,2.17,1.0,2.333333333333333,4.666666666666667,6.0,0.5526333333333332,1.242366666666667,2.245,2.6371333333333333,6.333333333333332,19.0,28.0,34.0,54.0,88.33333333333331,172.66666666666663,169.66666666666666,45.87,170.4475380000001,244.7634853333334,321.5486603333334,10.1056,18.07333333333333,39.357866666666666,45.98106666666667,2.0,4.0,3.0,0.5625,1.155,1.71,1.1324999999999998,4.0,12.0,16.0,10.0,49.0,84.0,98.0,56.0,54.76000000000001,167.24,233.94522800000004,150.325228,9.2416,15.504,28.88000000000001,21.128,3.6,5.68,14.56,22.0,24.0,64.0,190.0,336.0,712.0,-7.939999999999999,-6.879999999999997,-10.959999999999996,15.0,28.0,54.0,80.0,11.782800000000002,24.868800000000004,46.00600000000001,55.80960000000002,82.0,216.0,262.0,176.0,5238.0,10080.0,11854.0,8736.0,109.3657,185.1424,393.36880000000014,613.6319999999997,6.0,8.0,16.0,2.1904,7.814399999999997,9.1168,13.497599999999997,36.0,84.0,144.0,192.0,2304.0,4704.0,2304.0,2688.0,2.8561,30.5552,34.476,64.22,84.0,176.0,296.0,400.0,32.7828,81.00640000000007,121.78639999999996,148.8352,472.0,1192.0,1696.0,2024.0,2032.0,4616.0,6536.0,7248.0,540.5536000000002,1176.932,1966.5344000000007,2565.196800000001
ACOGEF,CoRE,2,0,0,0,5.20116,3.94888,4.87431,1842.0,1462.46,0.3697,0.2935245172764228,0.3697,0.0,0.293525,0.0,0.0799999999999999,0.48,0.9333333333333332,-0.6666666666666666,2.0,1.3333333333333333,4.333333333333333,9.333333333333334,20.0,-7.535703333333334,-1.3428133333333332,-5.485626666666668,1.3933333333333338,1.773333333333334,4.079999999999999,-0.04,0.72,0.74,-2.0,0.0,1.0,2.0,14.0,13.0,-7.800000000000002,-2.01422,1.8857800000000005,0.9800000000000004,2.66,2.17,1.0,2.333333333333333,4.666666666666667,6.0,0.5526333333333332,1.242366666666667,2.245,2.6371333333333333,6.333333333333332,19.0,28.0,34.0,54.0,88.33333333333331,172.66666666666663,169.66666666666666,45.87,170.4475380000001,244.7634853333334,321.5486603333334,10.1056,18.07333333333333,39.357866666666666,45.98106666666667,2.0,4.0,3.0,0.5625,1.155,1.71,1.1324999999999998,4.0,12.0,16.0,10.0,49.0,84.0,98.0,56.0,54.76000000000001,167.24,233.94522800000004,150.325228,9.2416,15.504,28.88000000000001,21.128,3.08,5.68,14.56,22.0,24.0,64.0,154.0,336.0,712.0,-7.34,-6.879999999999997,-10.959999999999996,15.0,28.0,54.0,80.0,13.1036,26.408000000000005,50.44680000000001,62.21600000000001,82.0,216.0,262.0,176.0,8406.0,13536.0,17038.0,12192.0,105.9937,183.1144,375.40480000000014,589.1519999999998,6.0,8.0,16.0,2.1904,8.583999999999998,9.1168,13.497599999999997,36.0,84.0,144.0,192.0,2304.0,6432.0,2304.0,2688.0,2.8561,29.5412,34.476,64.22000000000001,84.0,176.0,296.0,400.0,32.7828,81.00640000000007,121.78639999999994,148.8352,472.0,1192.0,1696.0,2024.0,2032.0,4616.0,6536.0,7248.0,540.5536000000002,1176.932,1966.5344000000007,2565.1968
ADABUE,CoRE,4,1,1,1,4.5494900000000005,3.31506,4.5494900000000005,772.133,526.578,0.1812,0.1235746631021877,0.1609,0.0203,0.10973,0.0138442,-0.0133333333333333,-0.02,-0.02,-0.6666666666666666,-1.0,-1.0,0.6666666666666666,1.0,1.0,-2.0000000000000004,-3.3000000000000007,-2.700000000000001,0.2966666666666667,0.4600000000000001,0.43,-0.0266666666666666,0.2233333333333332,0.2499999999999999,-1.3333333333333333,-0.8333333333333334,0.5,1.3333333333333333,5.5,4.166666666666667,-4.9,-3.621406666666666,0.6785933333333336,0.6383333333333336,1.28,0.6716666666666669,0.6666666666666666,1.0,1.3333333333333333,1.0,0.3651333333333333,0.5623666666666667,0.7450000000000001,0.5575,1.6666666666666667,3.6666666666666665,4.666666666666667,3.333333333333333,37.66666666666666,48.66666666666666,67.66666666666667,51.33333333333334,27.616666666666664,56.47000000000001,75.45333333333333,54.02,7.025066666666668,9.085066666666666,12.533066666666668,9.555733333333334,1.8333333333333333,3.0,2.1666666666666665,0.5575666666666667,1.0461833333333332,1.51,1.02125,3.5,9.166666666666666,12.333333333333336,6.333333333333332,51.5,82.66666666666667,113.16666666666669,81.66666666666667,50.31500000000001,130.10833333333335,180.08840933333332,103.265076,9.6736,15.375066666666669,24.63826666666667,18.792266666666663,3.1699999999999995,5.569999999999999,8.259999999999998,11.0,20.0,31.0,109.0,203.0,279.0,-6.1000000000000005,-7.810000000000002,-10.440000000000005,44.0,112.0,224.0,348.0,30.485600000000005,82.3992,161.36400000000006,229.4496000000001,336.0,1000.0,1888.0,2596.0,5176.0,11544.0,20792.0,27684.0,350.6464,829.1783999999997,1748.9304000000006,2819.364800000001,5.0,9.0,13.0,1.9044,5.147399999999998,9.453,13.3584,25.0,70.0,125.0,170.0,841.0,1044.0,1682.0,2842.0,3.61,29.64,47.32899999999999,66.76599999999999,15.0,30.66666666666667,46.66666666666666,50.66666666666666,6.5841666666666665,15.02173333333334,20.580666666666676,18.676800000000004,77.33333333333333,185.3333333333333,240.66666666666663,221.3333333333333,457.33333333333326,940.0,1222.0,957.3333333333336,106.01763333333334,214.75240000000005,320.4522,323.7065333333332
AFEJUQ,CoRE,2,0,0,0,5.870369999999999,4.28862,5.870369999999999,2044.71,2407.96,0.4277,0.5036837097123692,0.4277,0.0,0.503684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035,0.5349999999999999,0.84,-1.75,-0.75,0.75,1.75,10.75,14.25,-6.825000000000001,-2.485665,3.5840025000000004,0.8575000000000004,2.1175,2.2575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,3.25,3.0,0.5625,1.010625,1.426875,1.0575,3.25,9.5,13.0,8.25,49.0,73.5,84.0,47.25,54.76000000000001,146.335,196.363921,137.75838149999998,9.2416,13.566,23.59800000000001,20.862,3.1499999999999995,5.4899999999999975,13.569999999999991,11.0,19.0,49.0,110.0,207.0,431.0,-5.700000000000001,-5.85,-8.250000000000005,19.0,36.0,60.0,80.0,11.056600000000005,23.64020000000001,38.80580000000001,45.37020000000001,96.0,236.0,298.0,276.0,1449.0,2894.0,4526.0,3414.0,129.363,243.961,402.2660000000001,607.962,5.0,9.0,17.0,1.9044,5.175,9.5634,13.6482,25.0,70.0,130.0,180.0,841.0,1015.0,1566.0,1798.0,3.61,28.88,43.605,77.04499999999999,20.0,42.0,64.0,76.0,8.1492,19.8506,27.90720000000001,28.9716,106.0,258.0,352.0,360.0,466.0,1080.0,1400.0,1288.0,122.22820000000002,268.821,406.22000000000014,458.812
AGUBUA,CoRE,3,0,0,0,5.46526,4.78527,5.44217,1879.94,1149.09,0.4320000000000001,0.2640554516448454,0.4320000000000001,0.0,0.264055,0.0,1.3350000000000002,0.0,0.0,9.0,0.0,0.0,28.0,0.0,0.0,69.34644499999999,0.0,0.0,-3.755,0.0,0.0,-0.3300000000000001,0.18,0.0,-2.5,0.0,0.0,-7.0,3.5,0.0,-19.7,0.396445,0.0,1.25,0.6199999999999999,0.0,1.0,3.5,0.0,0.0,1.1236,2.5175,0.0,0.0,12.5,12.5,0.0,0.0,225.0,367.5,0.0,0.0,625.0,453.838875,0.0,0.0,4.7961,25.0098,0.0,0.0,1.0,2.5,0.0,0.5328999999999998,0.7738,1.2008500000000002,0.0,1.0,3.5,2.5,0.0,64.0,120.0,132.0,0.0,28.09,132.5,68.1238415,0.0,11.833600000000002,7.5336,27.45120000000001,0.0,2.3200000000000003,1.0,6.52,8.0,2.0,22.0,88.0,60.0,234.0,-7.1599999999999975,-2.16,-15.419999999999993,9.0,16.0,20.0,24.0,8.3421,13.8408,17.503600000000002,18.5712,36.0,80.0,80.0,48.0,2056.0,2880.0,4368.0,2880.0,69.24130000000001,105.6768,170.91119999999995,180.8064,4.0,4.0,10.0,1.7161000000000006,3.825200000000001,5.5544,8.6198,16.0,32.0,56.0,72.0,900.0,960.0,1800.0,1980.0,2.7225,22.704000000000004,14.454000000000002,52.668000000000006,4.5,7.0,9.0,0.0,2.79075,5.035,4.0077,0.0,16.0,25.0,9.0,0.0,417.5,735.0,408.0,0.0,42.7169,50.0196,93.7056,0.0
AKOXIJ,CoRE,3,0,0,0,7.07483,4.3695,7.07483,1586.08,1216.43,0.3831,0.2938131284080712,0.3369,0.0462,0.2583809999999999,0.0354325,-0.0266666666666666,-0.0622222222222222,-0.0755555555555556,-2.1666666666666665,-4.0,-4.777777777777779,1.3333333333333333,3.111111111111111,3.7777777777777777,-4.000000000000001,-9.133333333333336,-11.333333333333336,0.5933333333333335,1.3744444444444444,1.681111111111112,-0.0585185185185185,0.0366666666666666,0.0122222222222221,-2.296296296296296,-2.1666666666666665,-4.092592592592592,2.9259259259259256,4.648148148148149,5.87037037037037,-9.87777777777778,-9.777769259259262,-12.977769259259262,1.3570370370370377,1.656481481481482,2.177037037037037,0.5555555555555556,0.6666666666666666,2.0,1.8888888888888888,0.2960555555555555,0.3747333333333333,1.1112222222222223,1.0617444444444446,0.8888888888888888,4.111111111111111,8.055555555555555,8.333333333333334,35.555555555555564,32.0,103.11111111111111,90.66666666666669,15.605555555555556,39.92666666666669,104.58666666666666,113.12555555555556,6.574222222222222,5.847999999999997,18.939111111111103,16.56933333333333,2.0740740740740744,3.2962962962962963,2.851851851851852,0.5455074074074073,1.1846592592592595,1.7770222222222225,1.5426444444444452,5.222222222222221,19.46296296296296,23.57407407407407,19.870370370370367,57.61111111111112,92.22222222222224,151.55555555555554,121.037037037037,39.44944444444444,153.2196296296296,195.3712332592593,184.5712332592593,10.7296,16.94711111111111,29.31697777777779,23.58837037037037,2.733333333333333,4.3022222222222215,8.671111111111111,17.11111111111111,21.777777777777786,49.11111111111112,117.55555555555556,215.11111111111117,391.77777777777777,-8.04,-6.257777777777775,-15.968888888888891,27.4,69.6,102.8,181.6,17.344179999999998,46.71656000000001,71.59379999999999,107.99448000000002,217.2,660.8,914.8,1172.0,2547.6,6512.0,10757.2,10884.8,214.87794,507.15592,842.4548799999999,1495.68448,5.777777777777778,10.666666666666666,18.0,1.4641,5.151911111111111,10.411377777777778,15.861755555555556,33.55555555555556,95.55555555555556,233.7777777777777,323.1111111111111,784.0,1238.2222222222224,2339.555555555556,3142.222222222222,3.6481,36.43431111111112,50.86542222222222,96.16637777777775,13.888888888888893,41.11111111111112,54.44444444444444,46.88888888888889,7.4496555555555535,23.26597777777778,30.059977777777767,24.585088888888887,147.11111111111111,531.7777777777778,584.4444444444445,385.5555555555555,534.7777777777778,1512.0,2033.7777777777767,1654.666666666667,103.86651111111112,286.79,395.5255111111112,338.69366666666656
ALAMUW,CoRE,1,0,0,0,11.92678,5.98269,11.92678,2519.53,3876.38,0.7175,1.1038971029432127,0.7175,0.0,1.1039,0.0,-0.0466666666666667,-0.0533333333333333,0.1199999999999998,-1.3333333333333333,-1.3333333333333333,-4.0,2.3333333333333326,2.6666666666666665,10.666666666666666,-7.900000000000001,-9.2,-19.27140666666667,1.0833333333333337,1.246666666666667,3.586666666666668,-0.04,-0.04,-0.08,-2.0,-2.0,-4.0,2.0,2.0,4.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.8900000000000005,0.8900000000000005,1.780000000000001,1.0,1.6666666666666667,3.3333333333333326,4.666666666666667,0.5427666666666666,0.9522333333333334,1.8747333333333327,2.453933333333333,3.6666666666666665,11.0,18.0,22.0,59.0,74.0,162.66666666666666,188.66666666666663,36.98,123.54666666666668,203.7133333333333,293.4350760000001,10.9696,13.6,30.12746666666667,38.18666666666665,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.833600000000002,8.771999999999998,20.605599999999995,17.543999999999997,2.6,2.4399999999999995,5.039999999999999,8.0,4.0,12.0,84.0,92.0,176.0,-6.16,-2.6,-8.76,14.0,32.0,48.0,64.0,10.443599999999998,25.112000000000005,34.054399999999994,43.0992,80.0,192.0,256.0,320.0,2338.0,4480.0,4832.0,6016.0,127.8988,244.928,456.19520000000006,525.6319999999998,4.0,4.0,8.0,1.9044,4.029599999999999,4.2504,8.28,16.0,32.0,48.0,80.0,841.0,928.0,696.0,1624.0,3.61,26.143999999999995,19.38,45.524,48.0,104.0,168.0,218.0,24.03040000000001,55.80960000000002,87.92240000000002,107.26340000000005,272.0,696.0,1064.0,1194.0,1810.0,3624.0,5856.0,6800.0,368.2713999999999,731.442,1212.6095999999998,1534.2889999999993
AMEJIM,CoRE,3,0,0,0,7.39023,3.15572,7.39023,1467.9,1167.42,0.2904,0.2309545964259299,0.2904,0.0,0.230954,0.0,0.1599999999999999,0.34,0.3499999999999999,-0.5,0.0,0.5,4.5,8.0,7.5,-2.6035550000000005,-2.207110000000001,-0.2571100000000004,1.065,1.6849999999999998,1.4399999999999995,-0.025,0.7249999999999998,0.7600000000000001,-1.5,1.5,3.5,1.25,13.75,12.0,-4.425000000000002,0.3107800000000003,5.785780000000003,0.5900000000000002,2.47,1.6799999999999995,0.5,1.0,1.5,1.5,0.26645,0.4161,0.55115,0.54385,2.0,5.0,6.0,5.0,32.0,28.0,32.0,36.0,14.045,41.8888415,53.832683,43.49768299999999,5.916799999999999,8.17,11.954,12.7968,1.5,3.0,3.0,0.5627,0.8624,1.12495,1.0988,3.0,10.5,15.0,9.5,49.5,64.5,58.0,70.5,66.325,119.4975,139.66026250000002,101.1927625,9.204825,11.883,21.823000000000004,24.2736,2.605714285714285,3.5657142857142854,11.305714285714286,6.8571428571428585,5.142857142857143,27.428571428571445,90.85714285714286,134.57142857142858,336.85714285714283,-5.2114285714285735,-4.379999999999999,-6.197142857142861,12.142857142857142,25.714285714285715,40.285714285714285,44.57142857142857,9.40527142857143,20.000057142857145,32.620542857142866,27.95537142857143,69.42857142857143,180.0,229.7142857142857,145.71428571428572,1990.0,3140.5714285714284,5211.428571428572,2722.285714285714,89.73227142857141,180.28971428571427,279.6455142857143,345.2125714285715,4.285714285714286,6.8571428571428585,14.571428571428571,1.8555571428571425,4.326257142857143,7.900714285714287,11.8404,18.857142857142858,51.42857142857143,99.42857142857144,137.14285714285714,817.4285714285713,879.4285714285713,1771.7142857142858,2336.571428571428,3.5727000000000007,25.106142857142853,32.77988571428572,64.14942857142857,13.0,24.0,41.0,51.0,4.395299999999999,9.734,13.293100000000004,14.664499999999997,65.0,157.0,194.0,211.0,278.0,508.0,558.0,574.0,83.63075000000002,159.28749999999994,262.1955000000001,311.9038000000001
AMEJOS,CoRE,3,0,0,0,4.90637,3.27997,4.90637,1081.42,801.0880000000003,0.2234,0.1654888365408833,0.2234,0.0,0.165489,0.0,0.1024,0.2176,0.224,-0.32,0.0,0.32,2.88,5.12,4.8,-1.6662752000000003,-1.4125504000000006,-0.1645504000000002,0.6816,1.0783999999999998,0.9216,-0.0256,0.8192,0.5696,-1.56,2.08,2.08,1.2799999999999998,15.04,9.52,-4.488000000000001,1.7520736,3.557192800000001,0.6020000000000002,2.589999999999999,1.4368,0.32,0.64,0.96,0.96,0.170528,0.266304,0.352736,0.348064,1.28,3.2,3.84,3.2,20.48,17.92,20.48,23.04,8.9888,26.80885856,34.45291712,27.83851711999999,3.786752,5.228799999999999,7.65056,8.189952,1.48,3.0,2.24,0.561508,0.8503880000000001,1.0520439999999998,0.8118559999999999,2.92,10.239999999999998,12.36,6.08,50.08,63.84,49.84,51.52,64.79560000000001,117.11320000000002,126.31629400000004,73.63401192,9.309976,11.758559999999996,21.65104,18.188032000000003,2.791428571428572,3.9414285714285695,12.035714285714285,8.714285714285714,8.142857142857142,35.857142857142854,96.85714285714286,145.85714285714286,351.8571428571428,-5.651428571428572,-4.558571428571428,-6.3300000000000045,11.75,24.75,39.5,45.75,8.8670625,18.88745,30.96497500000001,27.851125000000003,67.25,176.75,232.75,153.75,1879.75,2961.0,4814.25,2699.0,86.84521249999996,174.343125,279.474525,354.68575,4.571428571428571,7.2857142857142865,15.0,1.8555571428571425,4.614085714285714,8.198400000000001,11.64917142857143,21.428571428571427,58.42857142857143,112.28571428571428,138.14285714285714,817.4285714285713,945.7142857142856,1804.857142857143,2262.0,3.5727,26.97357142857143,34.666314285714286,65.94899999999998,10.75,19.5,33.166666666666664,37.5,3.628274999999999,7.840283333333335,10.324516666666666,10.931983333333337,52.66666666666666,123.33333333333331,148.83333333333334,155.16666666666666,221.5,399.33333333333326,417.33333333333326,401.33333333333326,67.82990000000002,126.85033333333335,208.1588333333333,227.13693333333336
