MOF_name,split_0
ACOFUU,train
ACOGAB,train
ACOGEF,train
ADABUE,test
AFEJUQ,train
AGUBUA,train
AKOXIJ,train
ALAMUW,train
AMEJIM,test
AMEJOS,train
APUVIS,train
AQOLID,train
ARAHIM02,train
ARUHUS,train
ASEBAD,train
ASECUY,train
ASOYOY,train
ATAHUA,train
ATAJAI,train
ATAYAX,train
ATAYEB,train
ATEJOA,train
AVIPAX,train
AVIPEB,train
AVUHEF,train
AVUHIJ,train
AVUHOP,train
AVUHUV,train
AVUJAD,train
AVUJEH,test
AVUJIL,train
AVUJOR,test
AVUJUX,train
AVUKAE,test
AVUKEI,train
AVUKIM,train
AWEDOW,train
AWEDUC,train
AWIBAL,train
AWIBEP,train
AWIBIT,test
AXOHEA,train
AZAVII,train
AZAVOO,train
AZAVUU,train
AZAWAB,train
BADXAI,train
BAFBIW,test
BAFBOC,train
BAFCAP,train
BEDHOJ,test
BELYIC,train
BELYUO,train
BICPOT,train
BIQHEQ,train
BIQHIU,train
BIQHOA,train
BIRKUK,train
BIRLAR,train
BIRLEV,train
BIRLIZ,train
BOHWUS,train
BOPWIO,train
BUCTUQ,train
BUCVAY,train
BUCVEC,train
BUCVIG,train
BUCWAZ,train
BUNKUS,train
BUQWER,train
BUVHEH,train
CAVRAU,train
CAWZUX,train
CAYCIQ,train
CEHKUW,train
CEHLAD,test
CIKCEG,train
CIKCIK,train
CIKCOQ,train
CIMTEZ,train
CIYZOA,train
CIYZUG,train
COMDOY,train
COWLAC01,train
COWWOB,test
COWWUH,train
COWXAO,train
COWXES,test
COWXIW,train
COWXOC,train
COYBUO,test
COYCAV,test
COYCEZ,train
COYCID,train
CUCFOX,train
CUKWOV,train
CUKWUB,train
CUKXAI,train
CUKXEM,train
CUNFEX,train
CUNFIB,train
CUNFOH,test
CUNFOH01,test
CUNGAU,train
CUSDIE,test
CUTKIM,train
CUTKOS,train
CUTKUY,test
DAFJOM,train
DAFYAN,train
DAFYOB,test
DAGJAZ,train
DAGJED,train
DANVAQ,train
DANVEU,train
DANVIY,train
DARCOQ,train
DEJCEB,train
DEJCIF,train
DEYMOL,test
DOFQEV,train
DOFQIZ,train
DOFQOF,train
DOFQUL,train
DOFRAS,train
DOFREW,test
DONNEA,train
DONXOV,test
DONXUB,train
DUKXAK,test
DUKXEO,train
DUKXIS,train
DUKXOY,train
DUKXUE,train
DUKYAL,train
DUKYEP,train
DUKYIT,train
DUKYOZ,train
DULBUJ,train
DULCAQ,train
DULCIY,test
DUXLEP,train
EBITAL,train
EDIKEH,train
EDOVEA,train
EDOVIE,train
EGIKUB01,train
EJIQIZ,train
ELEREU,train
ELERIY,test
ELEROE,train
ELOZUC,train
ELUBAQ,train
ELUBEU,train
ELUBOE,train
EPEXEE,train
EPEXII,train
EPEXOO,train
EPEXUU,train
EPEYAB,train
EPOMUT,train
EPONAA,test
EPONEE,train
EPONII,test
EPONOO,train
EQUMUA,train
EQUNAH,train
EQUNEL,test
EQUNIP,train
ERIGER,train
ERIGUH,test
ERIHIW,train
ERIHOC,train
ESARAT,train
ESAREX,train
ESARIB,train
ESAROH,train
ESARUN,train
ESASAU,train
ESASEY,train
ESIFIX,train
ESIGES,test
EVOTIT,train
EWESEF,train
EZILUV,test
EZIMAC,train
EZIMIK,test
EZOFUV,train
EZOGAC,train
FEFTUG,test
FEFVAO,test
FEFVES,train
FEYDET,test
FIJFAG,train
FIJFEK,test
FIVYOZ,train
FIVYUF,test
FIVZAM,train
FIVZEQ,train
FIVZIU,train
FIYDOH,train
FOJLOH,train
FOJLUN,train
FOPPIJ01,train
FORPIM,train
FORPOS,test
FORPUY,train
FORQAF,test
FORQEJ,train
FORQIN,train
FORVOY,train
FORWAL,test
FOTNIN,train
FOXPUE,train
FUJCOC01,train
FUTKEL,train
FUWXUR,test
FUWYAY,test
FUYCAF,train
FUYCEJ,train
FUYKER,train
