name,alias,mol_graph_det,angle
XUDNAN_clean_linker_2,E0,-1.479835597e+33,157.95717642306184
MIFKUJ_clean_linker_0,E1,-3.966480861e+63,180.0
AJUNOK_clean_linker_0,E2,-5.967384533e+20,177.63935817595876
OJICUG_clean_linker_0,E3,-71871141887.0,180.0
FUNLAD_clean_linker_1,E4,1.1652286412e+39,180.0
CIFDUS_clean_linker_0,E5,1.3069661422e+22,180.0
EYOCIG_clean_linker_4,E6,136878336.0,169.02704181851394
TEMPAE_clean_linker_10,E7,2.5671004410000003e+37,167.15459028169417
KIFKEQ_clean_linker_1,E8,4.5691501449e+24,180.0
FUNLAD_clean_linker_0,E9,5.0257800569e+29,159.77228400317787
EZIPEK_clean_linker_0,E10,7.5809199685e+21,180.0
UKIBIB_clean_linker_0,E11,3.3012440322e+33,180.0
UKIBUN_clean_linker_0,E12,-1.531900556e+46,172.15099999999995
UVAHIK_clean_linker_0,E13,-2.321764847e+37,180.0
XIVTED_clean_linker_0,E14,1.5256990032e+26,180.0
ZUJKAS_clean_linker_0,E15,-3.546647840000001e+43,172.9
