name,n_X_atoms,compatible_net_block,rmsds,testable_nets,n_compatible_net_block,n_testable_nets,rounded_determinant,alias
APAZEY_clean_linker_0,3,"[('zzz', '0'), ('dag', '1')]","[0.4525780835570736, 0.4525202672751087, 0.460403796915872, 0.39744215898684715, 0.4894437414555555, 0.4606503328359631, 0.4687878589552015, 0.39527356428746724, 0.4894437316217745, 0.39738866782180143, 0.4893599027105546, 0.39823451166526425, 0.37869156877297555, 0.3861185268973528, 0.2922716491148078, 0.3972480435656633, 0.3455988276184938, 0.34428431833626416, 0.48944373162177385, 0.433184865509659, 0.48944373839319893, 0.4894437414555555, 0.46859760169802395, 0.4603443652898178, 0.4508353317848736, 0.3983998712570743, 0.4605046945608643, 0.4894437316217742, 0.2850465041009922, 0.4894437414555555, 0.46891348490082346, 0.4894437414555555, 0.4687493671046957, 0.4894437378833589, 0.4894437414555555, 0.45072446456410753, 0.3975065388389727, 0.3875195016489423, 0.398854691944742, 0.449178294724466]","['bpr', 'bpr', 'ant', 'ant', 'hwx', 'hwx', 'pyr', 'pyr', 'tsx', 'tsx', 'gea', 'gea', 'jxj', 'jxj', 'rht', 'rht', 'gfy', 'gfy', 'fon', 'fon', 'apo', 'apo', 'bwt', 'bwt', 'zzz', 'zzz', 'rtl', 'rtl', 'ana-f', 'ana-f', 'bor', 'bor', 'llk', 'llk', 'ctn', 'ctn', 'ttt', 'ttt', 'wyt', 'wyt', 'anh', 'anh', 'xmz', 'xmz', 'sit', 'sit', 'txt', 'txt', 'spn', 'spn', 'dag', 'dag', 'tbo', 'tbo', 'gez', 'gez', 'pry', 'pry', 'eea', 'eea', 'pto', 'pto', 'the', 'the', 'wys', 'wys', 'llj', 'llj', 'sab', 'sab', 'cml', 'cml', 'eee', 'eee']",2,74,-2.3217649999999997e+37,orgN0
AZAVOO_clean_linker_0,4,"[('soc', '0'), ('ssb', '0'), ('ssb', '1'), ('ptr', '1'), ('cds-b', '0'), ('cds-b', '1'), ('she', '0'), ('scu', '1'), ('shp', '0'), ('sqc', '0'), ('ftw', '0'), ('tbo', '1'), ('pto', '1'), ('nom', '0'), ('ssc', '0'), ('csq', '0'), ('pts', '0'), ('pth', '1'), ('fgl', '0'), ('myd', '0'), ('edc', '0'), ('stp', '0'), ('wbl', '0'), ('ssa', '1')]","[0.3141882950255779, 0.22069802376054326, 0.5327873387430702, 0.2739495281024497, 0.27395017964003476, 0.47746718464519766, 0.4774672132985418, 0.4029545229200093, 0.31095311974148104, 0.23633720211014186, 0.22069802303655917, 0.22069802376054376, 0.22069802376054376, 0.2739493364618979, 0.3155576298100118, 0.27393646750289263, 0.2223687150017339, 0.22069802376054326, 0.5328038493050736, 0.4714968736359999, 0.5121847493583754, 0.2739662617197576, 0.4029545277213761, 0.22069802376054326, 0.2798638350473996, 0.3864535767278376, 0.2694804196777881, 0.533357768762034, 0.27399631887735276, 0.2739493364618979, 0.5328035145763779, 0.3782810554808435, 0.27402528036610263, 0.29620044816556135, 0.4029468155664457, 0.4029545229200093, 0.40295452644216667, 0.3750187568299487, 0.19541341141966984, 0.5328038493050743, 0.2674299914590096, 0.47149861129205606, 0.27398807327836516, 0.16223518082547136, 0.4474821859598314, 0.4164722845692334, 0.2738446032211214, 0.367597126770493, 0.42424047350543537]","['cor', 'cor', 'soc', 'soc', 'ken', 'ken', 'ssb', 'ssb', 'sod-b', 'sod-b', 'twf', 'twf', 'ptr', 'ptr', 'cds-b', 'cds-b', 'she', 'she', 'scu', 'scu', 'hea', 'hea', 'shp', 'shp', 'sqc', 'sqc', 'ftw', 'ftw', 'toc', 'toc', 'bor', 'bor', 'ctn', 'ctn', 'tbo', 'tbo', 'iac', 'iac', 'pto', 'pto', 'nom', 'nom', 'ssc', 'ssc', 'csq', 'csq', 'pts', 'pts', 'pth', 'pth', 'fgl', 'fgl', 'ith', 'ith', 'gar', 'gar', 'ifi', 'ifi', 'myd', 'myd', 'flu', 'flu', 'edc', 'edc', 'ibd', 'ibd', 'stp', 'stp', 'wbl', 'wbl', 'ssa', 'ssa', 'icd', 'icd']",24,74,-6.196939000000005e+102,orgN1
BELTOD_clean_linker_0,3,"[('bpr', '0'), ('bpr', '1'), ('ant', '0'), ('hwx', '1'), ('pyr', '0'), ('tsx', '1'), ('gea', '1'), ('jxj', '0'), ('rht', '1'), ('gfy', '0'), ('fon', '0'), ('apo', '0'), ('bwt', '0'), ('bwt', '1'), ('zzz', '0'), ('rtl', '0'), ('ana-f', '0'), ('ana-f', '1'), ('bor', '0'), ('llk', '0'), ('ctn', '0'), ('ttt', '0'), ('wyt', '1'), ('anh', '1'), ('xmz', '0'), ('sit', '0'), ('txt', '1'), ('spn', '0'), ('dag', '1'), ('tbo', '0'), ('gez', '0'), ('pry', '0'), ('eea', '0'), ('pto', '0'), ('the', '0'), ('wys', '1'), ('llj', '1'), ('sab', '0'), ('cml', '0'), ('eee', '0')]","[0.07114739814133682, 0.07131905769769446, 0.049348555883460966, 0.07666359960983515, 0.02303024223958569, 0.048704366335750746, 0.028832355975895126, 0.07846396769736454, 0.023030224286903617, 0.07671803897403427, 0.02287731135634084, 0.07584407788528905, 0.15350405714671195, 0.15096013689977053, 0.20549576208794082, 0.07686116519780486, 0.13029638818759967, 0.1317043005888988, 0.023030224286903617, 0.14499002372881775, 0.02303024136441325, 0.023030242239592116, 0.029268613144401868, 0.04950418050943261, 0.07640190792625676, 0.07568895119903424, 0.04908456227784793, 0.023030224286903617, 0.1906740001415441, 0.023030242239592116, 0.028554952125404983, 0.02303024223958569, 0.028913379822700376, 0.023030242319860283, 0.023030242239592116, 0.07674188455978098, 0.0765980764156087, 0.08616524953307, 0.07522593290748612, 0.07420803012451793]","['bpr', 'bpr', 'ant', 'ant', 'hwx', 'hwx', 'pyr', 'pyr', 'tsx', 'tsx', 'gea', 'gea', 'jxj', 'jxj', 'rht', 'rht', 'gfy', 'gfy', 'fon', 'fon', 'apo', 'apo', 'bwt', 'bwt', 'zzz', 'zzz', 'rtl', 'rtl', 'ana-f', 'ana-f', 'bor', 'bor', 'llk', 'llk', 'ctn', 'ctn', 'ttt', 'ttt', 'wyt', 'wyt', 'anh', 'anh', 'xmz', 'xmz', 'sit', 'sit', 'txt', 'txt', 'spn', 'spn', 'dag', 'dag', 'tbo', 'tbo', 'gez', 'gez', 'pry', 'pry', 'eea', 'eea', 'pto', 'pto', 'the', 'the', 'wys', 'wys', 'llj', 'llj', 'sab', 'sab', 'cml', 'cml', 'eee', 'eee']",40,74,1.235825e+43,orgN2
BETDAH_clean_linker_0,3,"[('bpr', '0'), ('bpr', '1'), ('ant', '0'), ('hwx', '1'), ('pyr', '0'), ('tsx', '1'), ('gea', '1'), ('jxj', '0'), ('rht', '1'), ('gfy', '0'), ('fon', '0'), ('apo', '0'), ('bwt', '0'), ('bwt', '1'), ('zzz', '0'), ('rtl', '0'), ('ana-f', '0'), ('ana-f', '1'), ('bor', '0'), ('llk', '0'), ('ctn', '0'), ('ttt', '0'), ('wyt', '1'), ('anh', '1'), ('xmz', '0'), ('sit', '0'), ('txt', '1'), ('spn', '0'), ('dag', '1'), ('tbo', '0'), ('gez', '0'), ('pry', '0'), ('eea', '0'), ('pto', '0'), ('the', '0'), ('wys', '1'), ('llj', '1'), ('sab', '0'), ('cml', '0'), ('eee', '0')]","[0.15596498919459262, 0.15592121317270183, 0.1629779191261307, 0.1067035907018596, 0.19876134249706529, 0.16322839096690767, 0.17222031135234606, 0.10349529111567665, 0.1987613291670734, 0.10665195062800271, 0.19864771236862838, 0.10743973012367164, 0.1009740494730191, 0.10803375345377456, 0.04678009157244706, 0.10651622731862154, 0.04788803063448455, 0.04644641988528409, 0.1987613291670734, 0.154869489881598, 0.1987613400468672, 0.19876134249706456, 0.17199612915018941, 0.1629177660897805, 0.1547089959727773, 0.10762872907172856, 0.1630802436392596, 0.1987613291670734, 0.03975258362471836, 0.19876134249706529, 0.1723680253646192, 0.19876134249706529, 0.1721753606243316, 0.19876134003613075, 0.19876134249706606, 0.1546337167750232, 0.10676574167088977, 0.09473650413999454, 0.10806805327360301, 0.15270517024951535]","['bpr', 'bpr', 'ant', 'ant', 'hwx', 'hwx', 'pyr', 'pyr', 'tsx', 'tsx', 'gea', 'gea', 'jxj', 'jxj', 'rht', 'rht', 'gfy', 'gfy', 'fon', 'fon', 'apo', 'apo', 'bwt', 'bwt', 'zzz', 'zzz', 'rtl', 'rtl', 'ana-f', 'ana-f', 'bor', 'bor', 'llk', 'llk', 'ctn', 'ctn', 'ttt', 'ttt', 'wyt', 'wyt', 'anh', 'anh', 'xmz', 'xmz', 'sit', 'sit', 'txt', 'txt', 'spn', 'spn', 'dag', 'dag', 'tbo', 'tbo', 'gez', 'gez', 'pry', 'pry', 'eea', 'eea', 'pto', 'pto', 'the', 'the', 'wys', 'wys', 'llj', 'llj', 'sab', 'sab', 'cml', 'cml', 'eee', 'eee']",40,74,3.345438e+16,orgN3
BETDEL_clean_linker_0,3,"[('zzz', '0'), ('ana-f', '0'), ('ana-f', '1'), ('dag', '1')]","[0.38200813254829985, 0.3819523390572337, 0.38967413977885496, 0.3262251843479729, 0.4192829203245295, 0.3899188232926205, 0.39807841454121456, 0.3239775839017461, 0.41928291011503177, 0.32617115621578396, 0.41919588149318016, 0.3270239442811621, 0.30922554396345786, 0.31677686191770005, 0.22159979454692483, 0.3260291216272214, 0.27359291393964824, 0.27226507872406563, 0.41928291011503105, 0.36469911924913523, 0.41928291727418104, 0.4192829203245295, 0.3978860174342664, 0.38961517969568954, 0.3803328888863424, 0.3271925225657497, 0.3897742584821719, 0.4192829101150315, 0.21289914849217012, 0.4192829203245295, 0.3982054956731204, 0.4192829203245295, 0.39803948045034176, 0.4192829167964662, 0.4192829203245295, 0.38022678962595274, 0.32629021027643307, 0.3160876831446366, 0.3276519012547176, 0.3786086915579007]","['bpr', 'bpr', 'ant', 'ant', 'hwx', 'hwx', 'pyr', 'pyr', 'tsx', 'tsx', 'gea', 'gea', 'jxj', 'jxj', 'rht', 'rht', 'gfy', 'gfy', 'fon', 'fon', 'apo', 'apo', 'bwt', 'bwt', 'zzz', 'zzz', 'rtl', 'rtl', 'ana-f', 'ana-f', 'bor', 'bor', 'llk', 'llk', 'ctn', 'ctn', 'ttt', 'ttt', 'wyt', 'wyt', 'anh', 'anh', 'xmz', 'xmz', 'sit', 'sit', 'txt', 'txt', 'spn', 'spn', 'dag', 'dag', 'tbo', 'tbo', 'gez', 'gez', 'pry', 'pry', 'eea', 'eea', 'pto', 'pto', 'the', 'the', 'wys', 'wys', 'llj', 'llj', 'sab', 'sab', 'cml', 'cml', 'eee', 'eee']",4,74,-1.704277e+29,orgN4
BETDIP_clean_linker_0,3,"[('bpr', '0'), ('bpr', '1'), ('ant', '0'), ('hwx', '1'), ('pyr', '0'), ('tsx', '1'), ('gea', '1'), ('jxj', '0'), ('rht', '1'), ('gfy', '0'), ('fon', '0'), ('apo', '0'), ('bwt', '0'), ('bwt', '1'), ('zzz', '0'), ('rtl', '0'), ('ana-f', '0'), ('ana-f', '1'), ('bor', '0'), ('llk', '0'), ('ctn', '0'), ('ttt', '0'), ('wyt', '1'), ('anh', '1'), ('xmz', '0'), ('sit', '0'), ('txt', '1'), ('spn', '0'), ('dag', '1'), ('tbo', '0'), ('gez', '0'), ('pry', '0'), ('eea', '0'), ('pto', '0'), ('the', '0'), ('wys', '1'), ('llj', '1'), ('sab', '0'), ('cml', '0'), ('eee', '0')]","[0.1639187088349877, 0.16387829913567867, 0.17045168802791225, 0.11150209448461211, 0.20453494479377943, 0.17068660403023514, 0.17916646906688125, 0.10845429566170792, 0.20453493196263456, 0.11144933186791015, 0.20442556958606214, 0.11225997853669056, 0.10933576985135805, 0.11644521957867784, 0.04963440912475996, 0.1113106486817391, 0.05347763399481838, 0.0520541350228817, 0.20453493196263384, 0.16340024966003092, 0.20453494221394902, 0.20453494479377798, 0.17895425721153913, 0.17039528269090792, 0.16276233798375203, 0.11244713844694566, 0.1705476458341327, 0.20453493196263312, 0.03263233271901327, 0.20453494479377943, 0.17930655830791323, 0.20453494479377943, 0.17912373811420285, 0.20453494211508566, 0.20453494479377868, 0.16269325379655197, 0.11156559596405131, 0.0997775828913038, 0.112895861651548, 0.16071454024131462]","['bpr', 'bpr', 'ant', 'ant', 'hwx', 'hwx', 'pyr', 'pyr', 'tsx', 'tsx', 'gea', 'gea', 'jxj', 'jxj', 'rht', 'rht', 'gfy', 'gfy', 'fon', 'fon', 'apo', 'apo', 'bwt', 'bwt', 'zzz', 'zzz', 'rtl', 'rtl', 'ana-f', 'ana-f', 'bor', 'bor', 'llk', 'llk', 'ctn', 'ctn', 'ttt', 'ttt', 'wyt', 'wyt', 'anh', 'anh', 'xmz', 'xmz', 'sit', 'sit', 'txt', 'txt', 'spn', 'spn', 'dag', 'dag', 'tbo', 'tbo', 'gez', 'gez', 'pry', 'pry', 'eea', 'eea', 'pto', 'pto', 'the', 'the', 'wys', 'wys', 'llj', 'llj', 'sab', 'sab', 'cml', 'cml', 'eee', 'eee']",40,74,-3.898633e+16,orgN5
CEKHIL_clean_linker_0,4,"[('ssc', '1'), ('ssa', '0'), ('icd', '1')]","[0.5803076541828732, 0.6031396501011451, 0.697582922300909, 0.4471395324799933, 0.44713851389800197, 0.536152955201296, 0.5361529566236707, 0.631746407094195, 0.5354940413899472, 0.47500339223563665, 0.6031396217042387, 0.6031396501011465, 0.6031396501011462, 0.44713983208233504, 0.5633576744017943, 0.4471599517562686, 0.572473645225358, 0.603139650101145, 0.6975854297592523, 0.3709863436613935, 0.6506216704021852, 0.4471133734240172, 0.6317464538527182, 0.6031396501011451, 0.43264627483237383, 0.5504368774590983, 0.4174965108287812, 0.09178566688644063, 0.4470663938028598, 0.4471398320823368, 0.6975847649037056, 0.5354385183124104, 0.44702113600225285, 0.4145712560546674, 0.6317267275136441, 0.631746407094195, 0.6317463946780207, 0.4661821447796066, 0.5196278537010457, 0.6975854297592525, 0.5861527954092517, 0.37097247720205634, 0.447066807603284, 0.5524289187043405, 0.46600542203578593, 0.275700666894916, 0.4473036271956473, 0.6171701278696498, 0.27972524021039513]","['cor', 'cor', 'soc', 'soc', 'ken', 'ken', 'ssb', 'ssb', 'sod-b', 'sod-b', 'twf', 'twf', 'ptr', 'ptr', 'cds-b', 'cds-b', 'she', 'she', 'scu', 'scu', 'hea', 'hea', 'shp', 'shp', 'sqc', 'sqc', 'ftw', 'ftw', 'toc', 'toc', 'bor', 'bor', 'ctn', 'ctn', 'tbo', 'tbo', 'iac', 'iac', 'pto', 'pto', 'nom', 'nom', 'ssc', 'ssc', 'csq', 'csq', 'pts', 'pts', 'pth', 'pth', 'fgl', 'fgl', 'ith', 'ith', 'gar', 'gar', 'ifi', 'ifi', 'myd', 'myd', 'flu', 'flu', 'edc', 'edc', 'ibd', 'ibd', 'stp', 'stp', 'wbl', 'wbl', 'ssa', 'ssa', 'icd', 'icd']",3,74,-1.1584230000000001e+52,orgN6
CUKXOW_clean_linker_0,6,"[('mgc', '0'), ('she', '1'), ('htp', '0'), ('anh', '0'), ('gar', '1')]","[0.586675459231781, 0.4380296651320638, 0.5450072467289161, 0.4606110146942464, 0.4973792483690895, 0.4373901994193147, 0.2277609819218232, 0.35434261430636727, 0.1614566338475775, 0.3614594709734406, 0.5921060493460906, 0.5264928361169356, 0.5167073738567967, 0.5625376779550243, 0.36145129336862647, 0.56373610245735, 0.36145947097344017, 0.5264450467961801, 0.28661915352371353, 0.5263368208617618, 0.2666652376086512, 0.4612205509448066, 0.6293304244832305, 0.5126806896684963, 0.4973792483690895, 0.5405020291182754, 0.4512331705437651, 0.4184496065586816, 0.4603017944902721, 0.5779129152207166, 0.2942301895612585, 0.5783327367251291, 0.5339704110947805, 0.5486472092836538, 0.5264794527350354]","['cor', 'cor', 'ant', 'ant', 'soc', 'soc', 'hwx', 'hwx', 'pyr', 'pyr', 'tsx', 'tsx', 'mgc', 'mgc', 'jxj', 'jxj', 'she', 'she', 'ocu', 'ocu', 'nia', 'nia', 'hea', 'hea', 'apo', 'apo', 'zzz', 'zzz', 'rtl', 'rtl', 'toc', 'toc', 'alb', 'alb', 'htp', 'htp', 'anh', 'anh', 'sit', 'sit', 'spn', 'spn', 'dag', 'dag', 'pry', 'pry', 'iac', 'iac', 'eea', 'eea', 'sab', 'sab', 'cml', 'cml', 'tph', 'tph', 'gar', 'gar', 'ifi', 'ifi', 'myd', 'myd', 'ibd', 'ibd', 'stp', 'stp']",5,66,-1.953314e+36,orgN7
CUQRIR_clean_linker_1,3,"[('bpr', '0'), ('bpr', '1'), ('ant', '0'), ('hwx', '1'), ('pyr', '0'), ('tsx', '1'), ('gea', '1'), ('jxj', '0'), ('rht', '1'), ('gfy', '0'), ('fon', '0'), ('apo', '0'), ('bwt', '0'), ('bwt', '1'), ('zzz', '0'), ('rtl', '0'), ('ana-f', '0'), ('ana-f', '1'), ('bor', '0'), ('llk', '0'), ('ctn', '0'), ('ttt', '0'), ('wyt', '1'), ('anh', '1'), ('xmz', '0'), ('sit', '0'), ('txt', '1'), ('spn', '0'), ('dag', '1'), ('tbo', '0'), ('gez', '0'), ('pry', '0'), ('eea', '0'), ('pto', '0'), ('the', '0'), ('wys', '1'), ('llj', '1'), ('sab', '0'), ('cml', '0'), ('eee', '0')]","[0.19126350829856337, 0.19124472460788106, 0.19491336806280582, 0.12492034561705838, 0.21998034147920212, 0.19505958614069033, 0.20071463866260378, 0.1226947631114781, 0.2199803311862523, 0.12486535974749272, 0.21989261712960997, 0.12573421450442934, 0.1444083387937306, 0.1513759726744167, 0.07908622050337749, 0.12472080796734003, 0.07458163439807375, 0.07340872826543074, 0.21998033118624957, 0.19746498074436294, 0.21998033831505626, 0.21998034147920079, 0.20056677978779336, 0.19487836454604476, 0.1907598809059159, 0.12590487294903985, 0.19497299750463964, 0.21998033118625093, 0.010132452711179915, 0.21998034147920145, 0.20081371442305748, 0.21998034147920212, 0.20068387705386048, 0.2199803377978917, 0.21998034147920145, 0.1907323491659274, 0.1249865247295449, 0.1148119822791063, 0.12637245450918158, 0.188440404644955]","['bpr', 'bpr', 'ant', 'ant', 'hwx', 'hwx', 'pyr', 'pyr', 'tsx', 'tsx', 'gea', 'gea', 'jxj', 'jxj', 'rht', 'rht', 'gfy', 'gfy', 'fon', 'fon', 'apo', 'apo', 'bwt', 'bwt', 'zzz', 'zzz', 'rtl', 'rtl', 'ana-f', 'ana-f', 'bor', 'bor', 'llk', 'llk', 'ctn', 'ctn', 'ttt', 'ttt', 'wyt', 'wyt', 'anh', 'anh', 'xmz', 'xmz', 'sit', 'sit', 'txt', 'txt', 'spn', 'spn', 'dag', 'dag', 'tbo', 'tbo', 'gez', 'gez', 'pry', 'pry', 'eea', 'eea', 'pto', 'pto', 'the', 'the', 'wys', 'wys', 'llj', 'llj', 'sab', 'sab', 'cml', 'cml', 'eee', 'eee']",40,74,-3.800822e+16,orgN8
ESEHIV_clean_linker_0,3,"[('bpr', '0'), ('bpr', '1'), ('ant', '0'), ('hwx', '1'), ('pyr', '0'), ('tsx', '1'), ('gea', '1'), ('jxj', '0'), ('rht', '1'), ('gfy', '0'), ('fon', '0'), ('apo', '0'), ('bwt', '0'), ('bwt', '1'), ('zzz', '0'), ('rtl', '0'), ('ana-f', '0'), ('ana-f', '1'), ('bor', '0'), ('llk', '0'), ('ctn', '0'), ('ttt', '0'), ('wyt', '1'), ('anh', '1'), ('xmz', '0'), ('sit', '0'), ('txt', '1'), ('spn', '0'), ('dag', '1'), ('tbo', '0'), ('gez', '0'), ('pry', '0'), ('eea', '0'), ('pto', '0'), ('the', '0'), ('wys', '1'), ('llj', '1'), ('sab', '0'), ('cml', '0'), ('eee', '0')]","[0.0860149429150137, 0.0861884133850703, 0.06387076198927123, 0.0888673954926863, 0.006823396580425699, 0.06321115492661558, 0.04247194332075486, 0.09112533252793303, 0.0068233831839468, 0.08892245740321258, 0.006710483853752179, 0.08805052117665557, 0.17016917067407242, 0.16755991641901802, 0.22126934291151623, 0.08906720905129809, 0.1445814159819808, 0.1460039803380223, 0.0068233831839468, 0.1601979185249336, 0.006823394102812247, 0.006823396580404004, 0.04294117316393492, 0.0640300473925598, 0.0913207403544891, 0.08788146302301682, 0.06360050717132976, 0.0068233831839468, 0.20333732425923098, 0.006823396580425699, 0.04217173600863459, 0.006823396580425699, 0.04256006892632802, 0.006823394085912276, 0.006823396580404004, 0.09166376438883704, 0.08880112416230006, 0.09928335684897192, 0.08741315870411323, 0.08933795772603072]","['bpr', 'bpr', 'ant', 'ant', 'hwx', 'hwx', 'pyr', 'pyr', 'tsx', 'tsx', 'gea', 'gea', 'jxj', 'jxj', 'rht', 'rht', 'gfy', 'gfy', 'fon', 'fon', 'apo', 'apo', 'bwt', 'bwt', 'zzz', 'zzz', 'rtl', 'rtl', 'ana-f', 'ana-f', 'bor', 'bor', 'llk', 'llk', 'ctn', 'ctn', 'ttt', 'ttt', 'wyt', 'wyt', 'anh', 'anh', 'xmz', 'xmz', 'sit', 'sit', 'txt', 'txt', 'spn', 'spn', 'dag', 'dag', 'tbo', 'tbo', 'gez', 'gez', 'pry', 'pry', 'eea', 'eea', 'pto', 'pto', 'the', 'the', 'wys', 'wys', 'llj', 'llj', 'sab', 'sab', 'cml', 'cml', 'eee', 'eee']",40,74,-71871140000.0,orgN9
