,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework)
0,MOF_net-rho_node1-N18_edge1-E0.cif,82.3059778094,12.3254163691,722.4952717716,108.194511338
1,MOF_net-unl_node1-N10_edge1-E3.cif,64.3449602578,27.4415235433,418.1889458364,178.3471736829
2,MOF_net-wiv_node1-N70_edge1-E8.cif,60.9829761012,28.7849541254,406.7193140775,191.9781149777
3,MOF_net-deh_node1-N83_edge1-E8.cif,134.3092391825,6.7170612357,1488.0245832573,74.4189476971
4,MOF_net-fcm_node1-N0_edge1-E8.cif,77.6524889895,13.7200262104,676.4611265253,119.5205009785
5,MOF_net-umq_node1-N29_edge1-E15.cif,99.5575035393,10.1567081112,971.0691279781,99.0670249655
6,MOF_net-dei_node1-N29_edge1-E7.cif,100.9042052849,13.6141384547,806.1881606232,108.7720497697
7,MOF_net-bcg_node1-N84_edge1-E0.cif,96.6307328055,76.124561493,240.7542283232,189.663366163
8,MOF_net-snl_node1-N12_edge1-E8.cif,55.0580844262,21.1166697153,449.071315711,172.2343003992
9,MOF_net-umq_node1-N74_edge1-E1.cif,79.933710977,10.7661095412,762.6693602842,102.7223905428
10,MOF_net-wkl_node1-N38_edge1-E1.cif,84.6857789069,18.9472068294,580.5702783989,129.8941249148
11,MOF_net-eci_node1-N77_edge1-E3.cif,74.1446775128,54.224207684,241.7449810625,176.795294004
12,MOF_net-ums_node1-N55_edge1-E7.cif,80.124097022,14.588555723,668.2234126757,121.6664505878
13,MOF_net-uox_node1-N4_edge1-E14.cif,61.7155096598,15.436899839,514.7311840479,128.7497061262
14,MOF_net-smn_node1-N81_edge1-E15.cif,67.032479757,17.3329655314,569.2708891997,147.1995775225
15,MOF_net-wkj_node1-N21_edge1-E13.cif,70.7740009586,15.7052864795,558.5985219287,123.9572398774
16,MOF_net-wjc_node1-N32_edge1-E14.cif,67.4569373616,22.9883952705,466.2107725822,158.8782108808
17,MOF_net-wim_node1-N38_edge1-E13.cif,75.5920626598,14.5371460755,654.4123826494,125.8503613406
18,MOF_net-ukv_node1-N29_edge1-E15.cif,89.6088697202,11.972966156,835.6729176287,111.6572900816
19,MOF_net-yfm_node1-N0_edge1-E5.cif,80.3521211104,21.3459323508,525.0307357891,139.4769722735
20,MOF_net-unl_node1-N73_edge1-E8.cif,54.0570941885,12.9986462125,529.3597387814,127.2906001864
21,MOF_net-wne_node1-N28_edge1-E14.cif,67.4284354326,20.2729702297,529.6745861085,159.2514648562
22,MOF_net-vby_node1-N48_edge1-E8.cif,58.9894918693,25.9481253273,399.1927893767,175.5957578251
23,MOF_net-wlk_node1-N0_edge1-E1.cif,83.1846215504,14.8572104306,698.2806592295,124.7165942509
24,MOF_net-som_node1-N36_edge1-E13.cif,63.5221769604,14.6218934812,583.9071155579,134.407037906
25,MOF_net-wgl_node1-N85_edge1-E8.cif,76.5349491251,16.7927591523,660.4966109497,144.9215114844
26,MOF_net-vbm_node1-N47_edge1-E1.cif,71.0744855596,26.3425846878,451.251829547,167.2490408024
27,MOF_net-wgo_node1-N0_edge1-E0.cif,73.0788562665,26.1615806712,509.52057323,182.4038341756
28,MOF_net-uoe_node1-N73_edge1-E15.cif,78.6412973414,10.1144231735,783.1262222859,100.7215073785
29,MOF_net-vbm_node1-N16_edge1-E13.cif,64.9867210147,14.2379678806,605.9281949373,132.7530615914
30,MOF_net-rho_node1-N10_edge1-E13.cif,115.6670340685,8.5089805341,1196.0337799228,87.9855546868
31,MOF_net-nfb_node1-N29_edge1-E8.cif,73.5068630177,16.2512353701,635.2688871007,140.4481674735
32,MOF_net-wga_node1-N0_edge1-E5.cif,71.2563837598,17.6524792018,576.4623072184,142.8081015602
33,MOF_net-sxb_node1-N43_edge1-none.cif,0.0224565053,0.0477874183,0.1646213932,0.3503141423
34,MOF_net-wmt_node1-N30_edge1-E14.cif,62.2893816207,19.0129067285,425.0908941772,129.7526691041
35,MOF_net-wmi_node1-N46_edge1-E15.cif,67.0861456108,17.8348240035,510.9718087072,135.8416435477
36,MOF_net-wgb_node1-N0_edge1-E1.cif,78.0061282267,16.8148291277,639.1097635759,137.7650924698
37,MOF_net-srs-g_node1-N86_edge1-E2.cif,86.5021189626,16.0863058644,541.1169172963,100.6284278862
38,MOF_net-fcm_node1-N86_edge1-E2.cif,71.018308401,25.7410543653,402.7455932234,145.9777970493
39,MOF_net-uks_node1-N57_edge1-E1.cif,92.9222985473,11.1629899172,835.937381751,100.4232644883
40,MOF_net-uow_node1-N10_edge1-E13.cif,91.9171504519,10.8013326237,889.0581085362,104.4746524982
41,MOF_net-vmh_node1-N61_edge1-E3.cif,49.2505677039,26.5380959323,324.6821248713,174.9511889715
42,MOF_net-rkf_node1-N12_edge1-E1.cif,70.2830484023,24.6933780055,448.4491247553,157.5589563278
43,MOF_net-fcm_node1-N85_edge1-E3.cif,84.4925590578,28.2445295134,490.273712903,163.8907675203
44,MOF_net-nfc_node1-N41_edge1-E15.cif,78.8361576747,16.6962010558,678.0037238717,143.5900331042
45,MOF_net-bcs_node1-N30_edge1-E15.cif,66.2496049565,20.3151121919,537.4628985887,164.8103274126
46,MOF_net-sin_node1-N66_edge1-E2.cif,52.279108799,8.7364004424,534.8229367681,89.3746555504
47,MOF_net-cbo_node1-N74_edge1-E15.cif,83.8116339723,9.1786223855,855.4462305159,93.6841050446
48,MOF_net-snk_node1-N15_edge1-E8.cif,58.446215828,23.8367089853,446.8221218815,182.2319672295
49,MOF_net-wmi_node1-N14_edge1-E13.cif,68.0547001645,13.433229856,618.3619330518,122.0576677405
50,MOF_net-uka_node1-N4_edge1-E5.cif,70.6082696735,25.5514130218,424.675380829,153.6796766997
51,MOF_net-neb_node1-N10_edge1-E1.cif,81.3248584395,13.7174882257,727.967478444,122.7900731201
52,MOF_net-vbd_node1-N85_edge1-E14.cif,71.5791234867,16.4262298412,619.7335024488,142.2186310147
53,MOF_net-uky_node1-N74_edge1-E8.cif,58.4224042075,11.4517772552,571.1243724803,111.9500162199
