,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework)
0,MOF_net-eea_node1-N49_node2-orgN8_edge1-E1.cif,90.1058292565,15.3949759925,712.0212873596,121.6519587634
1,MOF_net-ptr_node1-N55_node2-orgN20_edge1-E1.cif,127.1465502142,9.034360571,1236.5559515511,87.8631179036
2,MOF_net-ctn_node1-N42_node2-orgN5_edge1-E1.cif,94.3719015619,11.7967273913,856.5595204275,107.0721156369
3,MOF_net-eea_node1-N45_node2-orgN23_edge1-E14.cif,75.3502156831,13.7823213112,647.4874179231,118.4320384202
4,MOF_net-ssa_node1-N41_node2-orgN20_edge1-E7.cif,110.9665922226,10.6884881813,1009.2163942248,97.209414888
5,MOF_net-ctn_node1-N73_node2-orgN5_edge1-E15.cif,100.2452883287,9.1365190163,1035.874754283,94.4113139761
6,MOF_net-eea_node1-N45_node2-orgN3_edge1-E1.cif,94.0460447868,13.4492154555,753.1695862519,107.708304618
7,MOF_net-nom_node1-N79_node2-orgN19_edge1-E5.cif,126.8253168684,8.8827807777,1254.8226009396,87.8871376333
8,MOF_net-eea_node1-N47_node2-orgN23_edge1-none.cif,79.1877159882,73.9289830185,189.4045886284,176.8265246901
9,MOF_net-apo_node1-N46_node2-orgN8_edge1-E13.cif,75.5928240355,12.6658579251,693.4934163191,116.1973930089
10,MOF_net-eea_node1-N20_node2-orgN14_edge1-E7.cif,90.0011774605,11.5479332488,816.1475938059,104.7188292464
11,MOF_net-rtl_node1-N48_node2-orgN17_edge1-none.cif,69.2878766856,39.7805978791,348.0602214189,199.8335692807
12,MOF_net-ptr_node1-N73_node2-orgN15_edge1-E8.cif,89.7776186921,10.8272591557,866.3258585676,104.4796545137
13,MOF_net-pts_node1-N79_node2-orgN19_edge1-E1.cif,133.2182179279,8.4548791299,1339.0697817038,84.9859225479
14,MOF_net-ptr_node1-N18_node2-orgN18_edge1-E3.cif,85.9679064747,12.5986563056,773.872330349,113.4115266297
15,MOF_net-eea_node1-N58_node2-orgN26_edge1-E1.cif,107.0452139508,10.9385395018,965.4283039537,98.6534124154
16,MOF_net-pth_node1-N10_node2-orgN19_edge1-E4.cif,106.2254855098,12.1347072826,958.2796192903,109.4694236427
17,MOF_net-zzz_node1-N45_node2-orgN17_edge1-E15.cif,81.5513795859,14.0780521043,687.6395596954,118.7058465412
18,MOF_net-nom_node1-N79_node2-orgN15_edge1-E1.cif,118.6226836102,9.6477041843,1127.067521723,91.6655542973
19,MOF_net-ctn_node1-N73_node2-orgN26_edge1-E8.cif,98.1716980631,9.7984644015,979.132102821,97.7266487506
20,MOF_net-bpr_node1-N83_node2-orgN22_edge1-none.cif,49.1501899897,14.3121116798,465.521967352,135.5559843723
21,MOF_net-nom_node1-N42_node2-orgN21_edge1-E10.cif,69.540557568,15.2582329739,570.5240723068,125.1814698778
22,MOF_net-bwt_node1-N83_node2-orgN3_edge1-E7.cif,76.065876353,12.1327578953,693.5586617427,110.6248916407
23,MOF_net-pts_node1-N73_node2-orgN19_edge1-E1.cif,114.4114420138,9.3097524191,1128.4498735385,91.8228872484
24,MOF_net-eea_node1-N20_node2-orgN2_edge1-E13.cif,106.6540359238,9.2215387445,1074.410794512,92.8958823099
25,MOF_net-rtl_node1-N46_node2-orgN9_edge1-E3.cif,73.0711127295,41.7928575618,358.2658694436,204.9093532535
26,MOF_net-pto_node1-N41_node2-orgN26_edge1-E13.cif,130.062854448,8.7932038089,1315.2006256379,88.9172177558
27,MOF_net-csq_node1-N76_node2-orgN10_edge1-E14.cif,87.9487000163,18.9368435008,650.8613690391,140.1414675136
28,MOF_net-ssa_node1-N57_node2-orgN15_edge1-E15.cif,104.1914570383,10.6166135797,993.1666615689,101.1989559016
29,MOF_net-ptr_node1-N18_node2-orgN15_edge1-E7.cif,95.1186745177,13.4426899156,785.6297468558,111.0294811086
30,MOF_net-eea_node1-N58_node2-orgN26_edge1-E5.cif,86.5598899839,13.8649038128,747.7791517853,119.7770239157
31,MOF_net-eea_node1-N45_node2-orgN23_edge1-E5.cif,77.376846897,19.267010537,560.8292697813,139.6477613613
32,MOF_net-ssb_node1-N41_node2-orgN19_edge1-E3.cif,100.6937444484,12.9273425704,864.4163956052,110.9761776236
33,MOF_net-ssa_node1-N41_node2-orgN19_edge1-E14.cif,113.4228578016,8.8787194451,1168.7275267194,91.4877655057
34,MOF_net-pto_node1-N41_node2-orgN26_edge1-E0.cif,102.7022314808,11.9875618176,920.99407598,107.4998396849
35,MOF_net-pth_node1-N10_node2-orgN19_edge1-E15.cif,118.7593822218,8.7155574119,1249.9633344576,91.732770922
36,MOF_net-eea_node1-N20_node2-orgN9_edge1-E15.cif,92.6680665908,11.0476415133,867.6573574474,103.4398125926
37,MOF_net-anh_node1-N16_node2-orgN8_edge1-E13.cif,84.2367618634,11.8595194647,805.5317172941,113.4091442897
38,MOF_net-ptr_node1-N29_node2-orgN21_edge1-E13.cif,143.9614185022,8.1429711799,1492.7373741536,84.4345488075
